"cluster_a","cluster_b","p_adj","index","sig"
"C1b1","B2b",0.8332,"Chao1","ns"
"C1b2","B2b",0.0034,"Chao1","**"
"C2a","B2b",1e-04,"Chao1","***"
"C2b1","B2b",0.7508,"Chao1","ns"
"C2b2","B2b",0,"Chao1","***"
"C1b1","C1a",0.0056,"Chao1","**"
"C1b2","C1a",0.7568,"Chao1","ns"
"C2a","C1a",0.1162,"Chao1","ns"
"C2b1","C1a",3e-04,"Chao1","***"
"C2b2","C1a",0.9762,"Chao1","ns"
"C1b2","C1b1",0.0394,"Chao1","*"
"C2a","C1b1",0.0028,"Chao1","**"
"C2b1","C1b1",0.6387,"Chao1","ns"
"C2b2","C1b1",0.0028,"Chao1","**"
"C2a","C1b2",0.1314,"Chao1","ns"
"C2b1","C1b2",0.0087,"Chao1","**"
"C2b2","C1b2",0.7568,"Chao1","ns"
"C2b1","C2a",5e-04,"Chao1","***"
"C2b2","C2a",0.0723,"Chao1","ns"
"C2b2","C2b1",1e-04,"Chao1","***"
