"cluster","fam_gen","class","mean_RA_pct"
"4","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",0.683
"4","Nitrincolaceae; uncultured","Gammaproteobacteria",4.515
"4","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",1.882
"4","Porticoccaceae; SAR92_clade","Gammaproteobacteria",4.472
"4","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",1.47
"4","Rhodobacteraceae; Loktanella","Alphaproteobacteria",7.99
"4","Rhodobacteraceae; Octadecabacter","Alphaproteobacteria",0.541
"4","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",0.41
"4","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",8.674
"4","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",0.457
"4","Spongiibacteraceae; uncultured","Gammaproteobacteria",3.43
"4","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",0.59
