"cluster","phylum","class","fam_gen","mean_RA_pct","class_grp"
"2","Planctomycetes","Planctomycetacia","Pirellulaceae; Blastopirellula",0.061,"Planctomycetacia"
"2","Proteobacteria","Alphaproteobacteria","Anaplasmataceae; Wolbachia",0.078,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Clade_I; Clade_Ia",0.695,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Clade_II; Clade_II_ge",0.012,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Clade_III; Clade_III_ge",0.002,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Methyloligellaceae; Methyloceanibacter",0.05,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Amylibacter",1.494,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Ascidiaceihabitans",0.617,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Loktanella",10.431,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Octadecabacter",3.843,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Planktomarina",0.762,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Profundibacterium",0.021,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Sedimentitalea",0.11,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Sulfitobacter",2.476,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; uncultured",0.439,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","SAR116_clade; SAR116_clade_ge",0.014,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","Sphingomonadaceae; Erythrobacter",0.007,"Alphaproteobacteria"
"2","Proteobacteria","Alphaproteobacteria","uncultured; uncultured_ge",0.016,"Alphaproteobacteria"
"2","Proteobacteria","Deltaproteobacteria","Desulfarculaceae; uncultured",0.053,"Deltaproteobacteria"
"2","Proteobacteria","Deltaproteobacteria","NB1-j_fa; NB1-j_ge",0.042,"Deltaproteobacteria"
