"ASV","mean_a","mean_b","log2FC","padj","direction"
"uncultured (53); uncultured_fa (53); uncultured_ge (53); ESV_804",0.04428,0.00764,2.53,0.00566,"Enriched in A"
"Desulfuromonadales (100); Sva1033 (100); Sva1033_ge (100); ESV_278",0.04674,0.01599,1.55,0.00597,"Enriched in A"
"Arenicellales (99); Arenicellaceae (99); Arenicella (99); ESV_825",0.04758,0.01301,1.87,0.00693,"Enriched in A"
"Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_837",0,0.02125,-14.38,0.007,"Enriched in B"
"JGI_0000069-P22 (18); JGI_0000069-P22_fa (18); JGI_0000069-P22_ge (18); ESV_1333",0,0.02229,-14.44,0.007,"Enriched in B"
"Verrucomicrobiales (100); Rubritaleaceae (100); Roseibacillus (100); ESV_800",0.01107,0.05351,-2.27,0.00824,"Enriched in B"
"Flavobacteriales (88); Cryomorphaceae (27); uncultured (27); ESV_1379",0.00206,0.02765,-3.75,0.00893,"Enriched in B"
"Bdellovibrionales (100); Bacteriovoracaceae (100); Peredibacter (100); ESV_1747",0.13724,0.08945,0.62,0.00893,"Enriched in A"
"Oceanospirillales (100); Pseudohongiellaceae (100); Pseudohongiella (100); ESV_147",0.12944,0.06175,1.07,0.00913,"Enriched in A"
"Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (100); ESV_210",0,0.02334,-14.51,0.0109,"Enriched in B"
"Chitinophagales (100); Saprospiraceae (99); Aureispira (99); ESV_789",0,0.02178,-14.41,0.0109,"Enriched in B"
"Alteromonadales (100); Psychromonadaceae (100); Psychromonas (100); ESV_1193",0,0.02475,-14.6,0.0109,"Enriched in B"
"Spirochaetales (16); Spirochaetaceae (16); uncultured (16); ESV_1728",0,0.01879,-14.2,0.0109,"Enriched in B"
"Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (62); ESV_678",0.05007,0.01208,2.05,0.0127,"Enriched in A"
"KI89A_clade (100); KI89A_clade_fa (100); KI89A_clade_ge (100); ESV_857",0.03665,0.01161,1.66,0.0135,"Enriched in A"
"Marine_Group_II (100); Marine_Group_II_fa (100); Marine_Group_II_ge (100); ESV_160",0,0.01914,-14.22,0.0176,"Enriched in B"
"Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_910",0,0.01952,-14.25,0.0176,"Enriched in B"
"Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_338",0.01504,0,13.88,0.0183,"Enriched in A"
"Opitutales (100); Puniceicoccaceae (100); Lentimonas (100); ESV_88",0.19085,0.30194,-0.66,0.0186,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_622",0.08977,0.04276,1.07,0.0204,"Enriched in A"
"Cellvibrionales (99); Spongiibacteraceae (99); BD1-7_clade (99); ESV_2043",0.01731,0.00189,3.19,0.0214,"Enriched in A"
"Myxococcales (100); Sandaracinaceae (100); uncultured (100); ESV_1012",0.01651,0.00211,2.96,0.0216,"Enriched in A"
"Marine_Group_II (100); Marine_Group_II_fa (100); Marine_Group_II_ge (100); ESV_485",0.004,0.02372,-2.57,0.0268,"Enriched in B"
"PeM15 (87); PeM15_fa (87); PeM15_ge (87); ESV_579",0,0.01258,-13.62,0.0268,"Enriched in B"
"BD7-8 (96); BD7-8_fa (96); BD7-8_ge (96); ESV_885",0,0.02017,-14.3,0.0268,"Enriched in B"
"Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_959",0.1009,0.06117,0.72,0.0268,"Enriched in A"
"Thiotrichales (100); Thiotrichaceae (100); uncultured (100); ESV_1077",0,0.01484,-13.86,0.0268,"Enriched in B"
"Tenderiales (94); Tenderiaceae (94); Candidatus_Tenderia (94); ESV_2955",0,0.01676,-14.03,0.0268,"Enriched in B"
"Lokiarchaeia_or (9); Lokiarchaeia_fa (9); Lokiarchaeia_ge (9); ESV_3575",0,0.0184,-14.17,0.0268,"Enriched in B"
"Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_130",0.19609,0.1223,0.68,0.0273,"Enriched in A"
"Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_597",0.01685,0,14.04,0.0316,"Enriched in A"
"Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_3 (65); ESV_1036",0.01868,0,14.19,0.0316,"Enriched in A"
"Desulfobacterales (100); Desulfobulbaceae (100); Desulforhopalus (85); ESV_2058",0.01243,0,13.6,0.0316,"Enriched in A"
"Chitinivibrionales (18); Chitinivibrionaceae (18); Chitinivibrio (18); ESV_9969",0.01151,0,13.49,0.0316,"Enriched in A"
"Rhodobacterales (100); Rhodobacteraceae (100); uncultured (94); ESV_792",0.03903,0.0143,1.45,0.0368,"Enriched in A"
"Cellvibrionales (100); Halieaceae (100); Marimicrobium (54); ESV_1174",0,0.01695,-14.05,0.0425,"Enriched in B"
"Thiotrichales (2); Thiotrichaceae (2); uncultured (2); ESV_1880",0,0.01281,-13.65,0.0425,"Enriched in B"
