"sample_id","station","depth_type","depth_m","cluster","NO3(uM)"
"BOX_9_26","KL4","bottom",40.87,"10",0.7
"BOX_9_23","KL4","mid",20.13,"10",0.6
"BOX_5_41","CL2","mid",9.91,"10",0.4
"BOX_9_19","DBO3.2","surf",3.22,"10",0.4
"BOX_9_24","KL4","mid",10,"10",0.3
"BOX_7_51","CPL6","bottom",21.81,"10",0.2
"BOX_8_62","DBO2.36","bottom",27.73,"10",0.2
"BOX_5_42","CL0","mid",19.78,"10",0.1
"BOX_6_63","DBO2.36","mid",9.61,"10",0.1
"BOX_8_68","CL2.5","surf",2.97,"10",0.1
"BOX_8_99","CBE3","surf",3.79,"10",0.1
"BOX_9_53","DBO3.3","bottom",44.88,"10",0.1
"BOX_7_52","CPL5","surf",3.13,"10",0
"BOX_9_17","IL2","mid",20,"10",0
"BOX_9_25","KL4","surf",2.75,"10",0
"BOX_9_28","KL2","mid",10.16,"10",0
"BOX_9_56","DBO3.1","surf",3.44,"10",0
"BOX_5_43","CL1","mid",12.08,"10",NA
"BOX_5_44","CL1","bottom",43.87,"10",NA
"BOX_9_18","DBO3.1","mid",15.25,"10",NA
