"cluster","phylum","class","genus","mean_RA_pct","phylum_grp"
"B1","Proteobacteria","Alphaproteobacteria","SAR116_clade_ge",0.55,"Proteobacteria"
"B1","Proteobacteria","Alphaproteobacteria","Sulfitobacter",5.438,"Proteobacteria"
"B1","Proteobacteria","Alphaproteobacteria","uncultured",0.31,"Proteobacteria"
"B1","Proteobacteria","Deltaproteobacteria","Desulforhopalus",0.054,"Proteobacteria"
"B1","Proteobacteria","Deltaproteobacteria","Peredibacter",0.222,"Proteobacteria"
"B1","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)_ge",0.042,"Proteobacteria"
"B1","Proteobacteria","Deltaproteobacteria","Sva1033_ge",0.103,"Proteobacteria"
"B1","Proteobacteria","Deltaproteobacteria","uncultured",0.086,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","Alteromonas",0.269,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","Arenicella",0.01,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","BD1-7_clade",0.02,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","Candidatus_Tenderia",0.003,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","Halioglobus",0.36,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","KI89A_clade_ge",0.007,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","Luminiphilus",0.272,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","Marinobacter",0.02,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","OM182_clade_ge",3.292,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","OM60(NOR5)_clade",0.523,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","Paraglaciecola",0.77,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","Pseudohongiella",1.055,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","Reinekea",0.138,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","SAR86_clade_ge",1.131,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","SAR92_clade",5.949,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","SUP05_cluster",5.15,"Proteobacteria"
"B1","Proteobacteria","Gammaproteobacteria","uncultured",19.237,"Proteobacteria"
"B1","Thaumarchaeota","Nitrososphaeria","Candidatus_Nitrosopumilus",0.674,"Thaumarchaeota"
"B1","Verrucomicrobia","Verrucomicrobiae","Lentimonas",2.461,"Verrucomicrobia"
"B1","Verrucomicrobia","Verrucomicrobiae","Persicirhabdus",2.625,"Verrucomicrobia"
"B1","Verrucomicrobia","Verrucomicrobiae","Roseibacillus",0.173,"Verrucomicrobia"
"B2a","Bacteroidetes","Bacteroidia","Fluviicola",1.24,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","Formosa",0.019,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","Lutibacter",0.465,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","Lutimonas",0.662,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","Marinoscillum",0.392,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","NS10_marine_group",0.001,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","NS11-12_marine_group_ge",2.693,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","NS2b_marine_group",0.027,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","NS4_marine_group",1.135,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","NS5_marine_group",0.023,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","NS7_marine_group_ge",0.036,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","NS9_marine_group_ge",0.329,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","Polaribacter",6.629,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","Polaribacter_1",1.947,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","Polaribacter_3",0.296,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","Portibacter",0.004,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","Rubidimonas",0.072,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","Tenacibaculum",2.167,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","Ulvibacter",5.629,"Bacteroidetes"
"B2a","Bacteroidetes","Bacteroidia","uncultured",7.202,"Bacteroidetes"
"B2a","Epsilonbacteraeota","Campylobacteria","Arcobacter",0.015,"Other"
"B2a","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)_cl","Marinimicrobia_(SAR406_clade)_ge",0.006,"Marinimicrobia_(SAR406_clade)"
"B2a","Proteobacteria","Alphaproteobacteria","Amylibacter",2.171,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","Clade_III_ge",0.098,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","Clade_II_ge",0.014,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","Clade_Ia",5.956,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","Litoreibacter",0.021,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","Loktanella",2.142,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","OCS116_clade_ge",0.042,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","Octadecabacter",0.015,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","Planktomarina",2.564,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","SAR116_clade_ge",0.856,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","Sulfitobacter",5.443,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","uncultured",0.162,"Proteobacteria"
"B2a","Proteobacteria","Alphaproteobacteria","uncultured_ge",0.073,"Proteobacteria"
"B2a","Proteobacteria","Deltaproteobacteria","Desulforhopalus",0.011,"Proteobacteria"
"B2a","Proteobacteria","Deltaproteobacteria","Peredibacter",0.164,"Proteobacteria"
"B2a","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)_ge",0.041,"Proteobacteria"
"B2a","Proteobacteria","Deltaproteobacteria","Sva1033_ge",0.009,"Proteobacteria"
"B2a","Proteobacteria","Deltaproteobacteria","uncultured",0.043,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","Alteromonas",2.18,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","Arenicella",0.186,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","BD1-7_clade",0.083,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","Candidatus_Tenderia",0.018,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","Halioglobus",0.131,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","KI89A_clade_ge",0.019,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","Luminiphilus",0.512,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","Marinobacter",0.013,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","OM182_clade_ge",5.918,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","OM60(NOR5)_clade",0.775,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","Oleibacter",0.009,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","Paraglaciecola",0.394,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","Pseudohongiella",1.346,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","Reinekea",0.17,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","SAR86_clade_ge",5.607,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","SAR92_clade",6.469,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","SUP05_cluster",1.381,"Proteobacteria"
"B2a","Proteobacteria","Gammaproteobacteria","uncultured",21.409,"Proteobacteria"
"B2a","Thaumarchaeota","Nitrososphaeria","Candidatus_Nitrosopumilus",0.028,"Thaumarchaeota"
"B2a","Verrucomicrobia","Verrucomicrobiae","DEV007_ge",0.105,"Verrucomicrobia"
"B2a","Verrucomicrobia","Verrucomicrobiae","LD29",0.104,"Verrucomicrobia"
"B2a","Verrucomicrobia","Verrucomicrobiae","Lentimonas",1.19,"Verrucomicrobia"
"B2a","Verrucomicrobia","Verrucomicrobiae","MB11C04_marine_group",0.097,"Verrucomicrobia"
"B2a","Verrucomicrobia","Verrucomicrobiae","Persicirhabdus",0.722,"Verrucomicrobia"
"B2a","Verrucomicrobia","Verrucomicrobiae","Roseibacillus",0.284,"Verrucomicrobia"
"B2b","Bacteroidetes","Bacteroidia","Fluviicola",1.372,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","Formosa",0.276,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","Lutibacter",0.302,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","Lutimonas",0.255,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","Marinoscillum",0.173,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","NS11-12_marine_group_ge",3.52,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","NS4_marine_group",0.715,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","NS9_marine_group_ge",0.143,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","Polaribacter",7.488,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","Polaribacter_1",1.039,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","Portibacter",0.117,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","Rubidimonas",0.005,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","Tenacibaculum",2.742,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","Ulvibacter",10.446,"Bacteroidetes"
"B2b","Bacteroidetes","Bacteroidia","uncultured",8.636,"Bacteroidetes"
"B2b","Epsilonbacteraeota","Campylobacteria","Arcobacter",0.033,"Other"
"B2b","Proteobacteria","Alphaproteobacteria","Amylibacter",1.528,"Proteobacteria"
"B2b","Proteobacteria","Alphaproteobacteria","Clade_III_ge",0.059,"Proteobacteria"
"B2b","Proteobacteria","Alphaproteobacteria","Clade_II_ge",0.014,"Proteobacteria"
"B2b","Proteobacteria","Alphaproteobacteria","Clade_Ia",5.837,"Proteobacteria"
"B2b","Proteobacteria","Alphaproteobacteria","Loktanella",2.116,"Proteobacteria"
"B2b","Proteobacteria","Alphaproteobacteria","OCS116_clade_ge",0.078,"Proteobacteria"
"B2b","Proteobacteria","Alphaproteobacteria","Planktomarina",0.507,"Proteobacteria"
"B2b","Proteobacteria","Alphaproteobacteria","SAR116_clade_ge",0.45,"Proteobacteria"
"B2b","Proteobacteria","Alphaproteobacteria","Sulfitobacter",4.822,"Proteobacteria"
"B2b","Proteobacteria","Alphaproteobacteria","Wolbachia",0.026,"Proteobacteria"
"B2b","Proteobacteria","Alphaproteobacteria","uncultured_ge",0.01,"Proteobacteria"
"B2b","Proteobacteria","Deltaproteobacteria","Desulforhopalus",0.034,"Proteobacteria"
"B2b","Proteobacteria","Deltaproteobacteria","Peredibacter",0.175,"Proteobacteria"
"B2b","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)_ge",0.007,"Proteobacteria"
"B2b","Proteobacteria","Deltaproteobacteria","Sva1033_ge",0.047,"Proteobacteria"
"B2b","Proteobacteria","Deltaproteobacteria","uncultured",0.018,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","Alteromonas",0.121,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","Arenicella",0.06,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","BD1-7_clade",0.05,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","Candidatus_Tenderia",0.001,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","Halioglobus",0.378,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","KI89A_clade_ge",0.01,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","Luminiphilus",0.626,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","Marinobacter",0.029,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","OM182_clade_ge",4.348,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","OM60(NOR5)_clade",0.395,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","Oleibacter",0.027,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","Paraglaciecola",1.564,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","Pseudohongiella",0.538,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","Psychrobacter",0.716,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","Reinekea",0.329,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","SAR86_clade_ge",0.544,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","SAR92_clade",5.486,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","SUP05_cluster",0.39,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","uncultured",27.268,"Proteobacteria"
"B2b","Proteobacteria","Gammaproteobacteria","uncultured_ge",0.016,"Proteobacteria"
"B2b","Verrucomicrobia","Verrucomicrobiae","Lentimonas",3.058,"Verrucomicrobia"
"B2b","Verrucomicrobia","Verrucomicrobiae","MB11C04_marine_group",0.035,"Verrucomicrobia"
"B2b","Verrucomicrobia","Verrucomicrobiae","Persicirhabdus",0.971,"Verrucomicrobia"
"C1a","Actinobacteria","Acidimicrobiia","Ilumatobacter",0.058,"Actinobacteria"
"C1a","Actinobacteria","Acidimicrobiia","Sva0996_marine_group",0.022,"Actinobacteria"
"C1a","Bacteroidetes","Bacteroidia","Algibacter",0.078,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","Aureispira",0.004,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","Fabibacter",0.044,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","Fluviicola",1.476,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","Formosa",3.282,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","Lutibacter",0.349,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","Lutimonas",0.338,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","Marinoscillum",0.731,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","NS10_marine_group",0.367,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","NS11-12_marine_group_ge",3.595,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","NS2b_marine_group",0.781,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","NS3a_marine_group",0.074,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","NS4_marine_group",0.709,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","NS5_marine_group",0.916,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","NS7_marine_group_ge",0.021,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","NS9_marine_group_ge",4.646,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","Polaribacter",3.396,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","Portibacter",0.011,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","Tenacibaculum",3.429,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","Ulvibacter",7.223,"Bacteroidetes"
"C1a","Bacteroidetes","Bacteroidia","uncultured",8.761,"Bacteroidetes"
"C1a","Euryarchaeota","Thermoplasmata","Marine_Group_II_ge",0.033,"Euryarchaeota"
"C1a","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)_cl","Marinimicrobia_(SAR406_clade)_ge",0.003,"Marinimicrobia_(SAR406_clade)"
"C1a","Patescibacteria","Gracilibacteria","JGI_0000069-P22_ge",0.604,"Patescibacteria"
"C1a","Planctomycetes","OM190","OM190_ge",0.013,"Planctomycetes"
"C1a","Planctomycetes","Phycisphaerae","Urania-1B-19_marine_sediment_group",0.046,"Planctomycetes"
"C1a","Proteobacteria","Alphaproteobacteria","AEGEAN-169_marine_group_ge",0.02,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","Amylibacter",0.606,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","Ascidiaceihabitans",0.479,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","Clade_III_ge",0.028,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","Clade_II_ge",0.192,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","Clade_IV_ge",0.006,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","Clade_Ia",2.679,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","Litoreibacter",0.023,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","Loktanella",1.86,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","OCS116_clade_ge",0.243,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","Planktomarina",4.039,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","SAR116_clade_ge",0.269,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","Sulfitobacter",5.066,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","Wolbachia",0.039,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","uncultured",0.426,"Proteobacteria"
"C1a","Proteobacteria","Alphaproteobacteria","uncultured_ge",0.342,"Proteobacteria"
"C1a","Proteobacteria","Deltaproteobacteria","NB1-j_ge",0.016,"Proteobacteria"
"C1a","Proteobacteria","Deltaproteobacteria","Peredibacter",0.096,"Proteobacteria"
"C1a","Proteobacteria","Deltaproteobacteria","Sva1033_ge",0.057,"Proteobacteria"
"C1a","Proteobacteria","Deltaproteobacteria","uncultured",0.118,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Alteromonas",0.049,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","BD7-8_ge",0.107,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Candidatus_Carsonella",0.008,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Halioglobus",0.214,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Luminiphilus",0.434,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Marimicrobium",0.029,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Methylotenera",0.019,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Moritella",0.054,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","OM182_clade_ge",2.516,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","OM43_clade",0.48,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","OM60(NOR5)_clade",2.357,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Oleibacter",0.05,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Paraglaciecola",0.657,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Porticoccus",0.034,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Pseudohongiella",1.239,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Psychrobacter",0.099,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Psychromonas",0.432,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","RS62_marine_group",0.344,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Reinekea",0.005,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","SAR86_clade_ge",3.092,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","SAR92_clade",4.326,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","SUP05_cluster",2.275,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","Thiotrichaceae_ge",0.036,"Proteobacteria"
"C1a","Proteobacteria","Gammaproteobacteria","uncultured",17.098,"Proteobacteria"
"C1a","Tenericutes","Mollicutes","uncultured",0.026,"Other"
"C1a","Thaumarchaeota","Nitrososphaeria","Candidatus_Nitrosopumilus",0.265,"Thaumarchaeota"
"C1a","Verrucomicrobia","Verrucomicrobiae","Lentimonas",1.632,"Verrucomicrobia"
"C1a","Verrucomicrobia","Verrucomicrobiae","MB11C04_marine_group",0.284,"Verrucomicrobia"
"C1a","Verrucomicrobia","Verrucomicrobiae","Persicirhabdus",3.723,"Verrucomicrobia"
"C1a","Verrucomicrobia","Verrucomicrobiae","Roseibacillus",0.369,"Verrucomicrobia"
"C1a","Verrucomicrobia","Verrucomicrobiae","Rubritalea",0.028,"Verrucomicrobia"
"C1b1","Actinobacteria","Acidimicrobiia","Ilumatobacter",0.124,"Actinobacteria"
"C1b1","Actinobacteria","Actinobacteria","Candidatus_Aquiluna",0.065,"Actinobacteria"
"C1b1","Asgardaeota","Lokiarchaeia","Lokiarchaeia_ge",0.008,"Other"
"C1b1","Bacteroidetes","Bacteroidia","Fluviicola",1.072,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","Formosa",4.219,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","Lutibacter",0.097,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","Marinoscillum",0.278,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","NS10_marine_group",0.078,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","NS11-12_marine_group_ge",2.765,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","NS2b_marine_group",0.162,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","NS4_marine_group",0.549,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","NS5_marine_group",1.316,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","NS9_marine_group_ge",2.11,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","Polaribacter",6.677,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","Portibacter",0.014,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","Tenacibaculum",2.354,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","Ulvibacter",10.642,"Bacteroidetes"
"C1b1","Bacteroidetes","Bacteroidia","uncultured",7.883,"Bacteroidetes"
"C1b1","Cyanobacteria","Oxyphotobacteria","Trichodesmium_IMS101",0.208,"Cyanobacteria"
"C1b1","Patescibacteria","Gracilibacteria","JGI_0000069-P22_ge",0.548,"Patescibacteria"
"C1b1","Planctomycetes","Phycisphaerae","Urania-1B-19_marine_sediment_group",0.068,"Planctomycetes"
"C1b1","Proteobacteria","Alphaproteobacteria","Amylibacter",1.808,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Ascidiaceihabitans",1.304,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Clade_III_ge",0.291,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Clade_II_ge",0.721,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Clade_IV_ge",0.12,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Clade_Ia",7.432,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Loktanella",1.679,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","OCS116_clade_ge",0.14,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Planktomarina",3.351,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","SAR116_clade_ge",0.582,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Sulfitobacter",6.686,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","Wolbachia",0.344,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","uncultured",0.101,"Proteobacteria"
"C1b1","Proteobacteria","Alphaproteobacteria","uncultured_ge",0.073,"Proteobacteria"
"C1b1","Proteobacteria","Deltaproteobacteria","NB1-j_ge",0.008,"Proteobacteria"
"C1b1","Proteobacteria","Deltaproteobacteria","Peredibacter",0.02,"Proteobacteria"
"C1b1","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)_ge",0.018,"Proteobacteria"
"C1b1","Proteobacteria","Deltaproteobacteria","uncultured",0.033,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Alteromonas",0.102,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","BD1-7_clade",0.01,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Candidatus_Carsonella",0.43,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Colwellia",0.233,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","KI89A_clade_ge",0.025,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Luminiphilus",0.072,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Marinobacter",0.026,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Methylotenera",0.188,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Moritella",0.03,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","OM182_clade_ge",2.282,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","OM43_clade",0.52,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","OM60(NOR5)_clade",0.198,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Paraglaciecola",1.349,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Pseudohongiella",0.581,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Psychrobacter",0.018,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Psychromonas",0.139,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","RS62_marine_group",0.467,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Reinekea",0.051,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","SAR86_clade_ge",1.781,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","SAR92_clade",3.85,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","SUP05_cluster",3.208,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","Thiotrichaceae_ge",0.137,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","endosymbionts2",0.189,"Proteobacteria"
"C1b1","Proteobacteria","Gammaproteobacteria","uncultured",13.142,"Proteobacteria"
"C1b1","Spirochaetes","Spirochaetia","uncultured",0.248,"Other"
"C1b1","Tenericutes","Mollicutes","uncultured",1.002,"Other"
"C1b1","Thaumarchaeota","Nitrososphaeria","Candidatus_Nitrosopumilus",0.164,"Thaumarchaeota"
"C1b1","Verrucomicrobia","Verrucomicrobiae","Lentimonas",2.36,"Verrucomicrobia"
"C1b1","Verrucomicrobia","Verrucomicrobiae","MB11C04_marine_group",0.027,"Verrucomicrobia"
