"cluster","phylum","class","fam_gen","mean_RA_pct","class_grp"
"C1b2","Bacteroidetes","Bacteroidia","Cyclobacteriaceae; Marinoscillum",0.337,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Formosa",2.99,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutibacter",0.295,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS4_marine_group",1.349,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS5_marine_group",0.789,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter",8.082,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Tenacibaculum",1.9,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Ulvibacter",5.186,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","Flavobacteriaceae; uncultured",5.021,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","NS11-12_marine_group; NS11-12_marine_group_ge",1.357,"Bacteroidia"
"C1b2","Bacteroidetes","Bacteroidia","NS9_marine_group; NS9_marine_group_ge",3.835,"Bacteroidia"
"C1b2","Proteobacteria","Alphaproteobacteria","Clade_I; Clade_Ia",6.959,"Alphaproteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Clade_II; Clade_II_ge",1.318,"Alphaproteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Clade_III; Clade_III_ge",0.046,"Alphaproteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Magnetospiraceae; uncultured",0.212,"Alphaproteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","OCS116_clade; OCS116_clade_ge",0.675,"Alphaproteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Amylibacter",1.536,"Alphaproteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Ascidiaceihabitans",1.023,"Alphaproteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Loktanella",2.663,"Alphaproteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Planktomarina",2.083,"Alphaproteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Sulfitobacter",2.71,"Alphaproteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","SAR116_clade; SAR116_clade_ge",0.725,"Alphaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Alteromonas",0.77,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Paraglaciecola",1.112,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Burkholderiaceae; RS62_marine_group",0.083,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Halieaceae; OM60(NOR5)_clade",1.018,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Methylophagaceae; uncultured",0.663,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Methylophilaceae; Methylotenera",0.072,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Methylophilaceae; OM43_clade",0.687,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Moraxellaceae; Psychrobacter",1.056,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Nitrincolaceae; uncultured",10.767,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","OM182_clade_fa; OM182_clade_ge",1.912,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Porticoccaceae; SAR92_clade",2.405,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Pseudohongiellaceae; Pseudohongiella",0.806,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","SAR86_clade_fa; SAR86_clade_ge",2.349,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Spongiibacteraceae; uncultured",1.758,"Gammaproteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Thioglobaceae; SUP05_cluster",7.111,"Gammaproteobacteria"
"C1b2","Tenericutes","Mollicutes","Mycoplasmataceae; uncultured",2.314,"Mollicutes"
