"cluster","fam_gen","class","mean_RA_pct"
"B2b","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",0.417
"C1a","Alteromonadaceae; Alteromonas","Gammaproteobacteria",0.054
"C1a","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",0.712
"C1a","Clade_I; Clade_Ia","Alphaproteobacteria",2.911
"C1a","Crocinitomicaceae; Fluviicola","Bacteroidia",1.595
"C1a","Cryomorphaceae; uncultured","Bacteroidia",2.966
"C1a","Cyclobacteriaceae; Marinoscillum","Bacteroidia",0.787
"C1a","Flavobacteriaceae; Formosa","Bacteroidia",3.51
"C1a","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.773
"C1a","Flavobacteriaceae; NS5_marine_group","Bacteroidia",0.976
"C1a","Flavobacteriaceae; Polaribacter","Bacteroidia",3.66
"C1a","Flavobacteriaceae; Tenacibaculum","Bacteroidia",3.693
"C1a","Flavobacteriaceae; Ulvibacter","Bacteroidia",7.819
"C1a","Flavobacteriaceae; uncultured","Bacteroidia",5.975
"C1a","Halieaceae; Luminiphilus","Gammaproteobacteria",0.477
"C1a","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",2.589
"C1a","Methylophagaceae; uncultured","Gammaproteobacteria",0.661
"C1a","Methylophilaceae; OM43_clade","Gammaproteobacteria",0.522
"C1a","Moraxellaceae; Psychrobacter","Gammaproteobacteria",0.108
"C1a","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",3.864
"C1a","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",5.005
"C1a","Nitrincolaceae; uncultured","Gammaproteobacteria",16.166
"C1a","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",2.737
"C1a","Porticoccaceae; SAR92_clade","Gammaproteobacteria",4.646
"C1a","Pseudohongiellaceae; Pseudohongiella","Gammaproteobacteria",1.348
"C1a","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",0.652
"C1a","Rhodobacteraceae; Ascidiaceihabitans","Alphaproteobacteria",0.519
"C1a","Rhodobacteraceae; Loktanella","Alphaproteobacteria",2.033
"C1a","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",4.364
"C1a","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",5.451
"C1a","SAR116_clade; SAR116_clade_ge","Alphaproteobacteria",0.292
"C1a","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",3.336
"C1a","Spongiibacteraceae; uncultured","Gammaproteobacteria",1.385
"C1a","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",2.466
"C1b1","Alteromonadaceae; Alteromonas","Gammaproteobacteria",0.108
"C1b1","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",1.458
"C1b1","Clade_I; Clade_Ia","Alphaproteobacteria",7.776
"C1b1","Crocinitomicaceae; Fluviicola","Bacteroidia",1.158
"C1b1","Cryomorphaceae; uncultured","Bacteroidia",3.694
"C1b1","Cyclobacteriaceae; Marinoscillum","Bacteroidia",0.29
"C1b1","Flavobacteriaceae; Formosa","Bacteroidia",4.429
"C1b1","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.586
"C1b1","Flavobacteriaceae; NS5_marine_group","Bacteroidia",1.371
"C1b1","Flavobacteriaceae; Polaribacter","Bacteroidia",7.132
"C1b1","Flavobacteriaceae; Tenacibaculum","Bacteroidia",2.517
"C1b1","Flavobacteriaceae; Ulvibacter","Bacteroidia",11.345
"C1b1","Flavobacteriaceae; uncultured","Bacteroidia",4.483
"C1b1","Halieaceae; Luminiphilus","Gammaproteobacteria",0.078
"C1b1","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",0.215
"C1b1","Methylophagaceae; uncultured","Gammaproteobacteria",0.243
"C1b1","Methylophilaceae; OM43_clade","Gammaproteobacteria",0.552
"C1b1","Moraxellaceae; Psychrobacter","Gammaproteobacteria",0.018
"C1b1","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",2.983
"C1b1","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",2.26
"C1b1","Nitrincolaceae; uncultured","Gammaproteobacteria",12.129
"C1b1","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",2.458
"C1b1","Porticoccaceae; SAR92_clade","Gammaproteobacteria",4.058
"C1b1","Pseudohongiellaceae; Pseudohongiella","Gammaproteobacteria",0.615
"C1b1","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",1.876
"C1b1","Rhodobacteraceae; Ascidiaceihabitans","Alphaproteobacteria",1.392
"C1b1","Rhodobacteraceae; Loktanella","Alphaproteobacteria",1.817
"C1b1","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",3.58
"C1b1","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",7.174
"C1b1","SAR116_clade; SAR116_clade_ge","Alphaproteobacteria",0.604
"C1b1","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",1.867
"C1b1","Spongiibacteraceae; uncultured","Gammaproteobacteria",1.322
"C1b1","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",3.42
"C1b2","Alteromonadaceae; Alteromonas","Gammaproteobacteria",0.843
"C1b2","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",1.2
"C1b2","Clade_I; Clade_Ia","Alphaproteobacteria",7.679
"C1b2","Crocinitomicaceae; Fluviicola","Bacteroidia",0.639
"C1b2","Cryomorphaceae; uncultured","Bacteroidia",2.929
"C1b2","Cyclobacteriaceae; Marinoscillum","Bacteroidia",0.372
"C1b2","Flavobacteriaceae; Formosa","Bacteroidia",3.246
"C1b2","Flavobacteriaceae; NS4_marine_group","Bacteroidia",1.475
"C1b2","Flavobacteriaceae; NS5_marine_group","Bacteroidia",0.866
"C1b2","Flavobacteriaceae; Polaribacter","Bacteroidia",8.784
"C1b2","Flavobacteriaceae; Tenacibaculum","Bacteroidia",2.043
"C1b2","Flavobacteriaceae; Ulvibacter","Bacteroidia",5.657
"C1b2","Flavobacteriaceae; uncultured","Bacteroidia",5.529
"C1b2","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",1.139
"C1b2","Methylophagaceae; uncultured","Gammaproteobacteria",0.722
"C1b2","Methylophilaceae; OM43_clade","Gammaproteobacteria",0.753
"C1b2","Moraxellaceae; Psychrobacter","Gammaproteobacteria",1.142
"C1b2","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",1.474
"C1b2","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",4.166
"C1b2","Nitrincolaceae; uncultured","Gammaproteobacteria",11.76
"C1b2","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",2.086
"C1b2","Porticoccaceae; SAR92_clade","Gammaproteobacteria",2.62
"C1b2","Pseudohongiellaceae; Pseudohongiella","Gammaproteobacteria",0.898
"C1b2","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",1.618
"C1b2","Rhodobacteraceae; Ascidiaceihabitans","Alphaproteobacteria",1.134
"C1b2","Rhodobacteraceae; Loktanella","Alphaproteobacteria",2.928
"C1b2","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",2.308
"C1b2","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",2.992
"C1b2","SAR116_clade; SAR116_clade_ge","Alphaproteobacteria",0.793
"C1b2","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",2.577
"C1b2","Spongiibacteraceae; uncultured","Gammaproteobacteria",1.912
"C1b2","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",7.789
"C2a","Alteromonadaceae; Alteromonas","Gammaproteobacteria",0.184
"C2a","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",0.116
