"sample_cluster","col_cluster","ASV","short_name","mean_in","mean_out"
"B1","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.004309,0.0237
"B1","CC4","Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6","Formosa (83); ESV_6",0.003333,0.021931
"B1","CC4","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_266","NS9_marine_group_ge (100); ESV_266",0.000675,0.00247
"B1","CC5","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_626","SAR92_clade (100); ESV_626",0.007679,0.003553
"B1","CC5","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_130","uncultured (100); ESV_130",0.006085,0.011422
"B1","CC5","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_314","OM182_clade_ge (100); ESV_314",0.005277,0.004023
"B1","CC5","Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (50); ESV_544","OM60(NOR5)_clade (50); ESV_544",0.005206,0.004727
"B1","CC5","Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_709","NS11-12_marine_group_ge (100); ESV_709",0.004479,0.002971
"B1","CC6","Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4","uncultured (100); ESV_4",0.158343,0.170423
"B1","CC6","SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1","Clade_Ia (100); ESV_1",0.070693,0.075089
"B1","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9","Ulvibacter (99); ESV_9",0.068862,0.050296
"B1","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (94); ESV_7","Polaribacter (94); ESV_7",0.064558,0.047179
"B1","CC6","Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26","Sulfitobacter (99); ESV_26",0.053706,0.042792
"B2a","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_3 (65); ESV_1036","Polaribacter_3 (65); ESV_1036",0.002903,0
"B2a","CC1","Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_507","uncultured (100); ESV_507",0.001724,0.000319
"B2a","CC1","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_2721","OM182_clade_ge (100); ESV_2721",0.00149,0.000623
