"cluster","col_cluster","ASV","short_name","mean_in","mean_out","ratio","score","pval","padj"
"B2a","CC1","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_2721","OM182_clade_ge (100); ESV_2721",0.00149,0.000623,2.4,0.0036,4.21e-05,0.000557
"B2a","CC1","B2M28 (97); B2M28_fa (97); B2M28_ge (97); ESV_1353","B2M28_ge (97); ESV_1353",0.000283,3.7e-05,7.5,0.0021,0.00257,0.0207
"B2a","CC1","Flavobacteriales (100); Crocinitomicaceae (100); Crocinitomix (100); ESV_4802","Crocinitomix (100); ESV_4802",8.3e-05,3e-06,22.7,0.0019,0.000327,0.00332
"B2a","CC1","SAR324_clade(Marine_group_B) (100); SAR324_clade(Marine_group_B)_fa (100); SAR324_clade(Marine_group_B)_ge (100); ESV_610","SAR324_clade(Marine_group_B)_ge (100); ESV_610",0.000396,0.000136,2.9,0.0011,0.000257,0.00273
"B2a","CC1","Cellvibrionales (99); Spongiibacteraceae (99); BD1-7_clade (99); ESV_2043","BD1-7_clade (99); ESV_2043",0.000186,5e-05,3.7,7e-04,0.00015,0.00171
"B2a","CC2","Rhodobacterales (100); Rhodobacteraceae (100); uncultured (94); ESV_792","uncultured (94); ESV_792",0.000897,0.000374,2.4,0.0021,3.85e-05,0.000515
"B2a","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.041132,0.019883,2.1,0.0851,1.48e-06,2.9e-05
"B2a","CC5","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (70); ESV_196","Polaribacter_1 (70); ESV_196",0.019235,0.001475,13,0.2508,4.32e-12,2.85e-10
"B2a","CC5","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (85); ESV_676","Polaribacter (85); ESV_676",0.012803,0.002305,5.6,0.0711,3.29e-10,1.46e-08
"B2a","CC5","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_1503","OM182_clade_ge (100); ESV_1503",0.008147,0.001065,7.6,0.0623,6.36e-16,7.46e-14
"B2a","CC5","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_361","SAR92_clade (100); ESV_361",0.007587,0.000955,7.9,0.0602,3.54e-09,1.34e-07
"B2a","CC5","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_149","NS4_marine_group (100); ESV_149",0.008157,0.001367,6,0.0486,8.98e-10,3.8e-08
"B2a","CC5","Flavobacteriales (98); Flavobacteriaceae (98); Lutimonas (36); ESV_347","Lutimonas (36); ESV_347",0.005931,0.001962,3,0.0179,1.13e-07,2.9e-06
"B2a","CC5","Chitinophagales (100); Saprospiraceae (100); uncultured (100); ESV_280","uncultured (100); ESV_280",0.002183,0.000589,3.7,0.0081,2.48e-05,0.000349
"B2a","CC5","Flavobacteriales (93); Flavobacteriaceae (93); Lutibacter (50); ESV_526","Lutibacter (50); ESV_526",0.003419,0.001456,2.3,0.008,0.000294,0.00305
"B2a","CC5","Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_541","uncultured (100); ESV_541",0.000765,0.000371,2.1,0.0016,0.00358,0.0279
"B2a","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (98); ESV_139","Ulvibacter (98); ESV_139",0.015518,0.006517,2.4,0.0369,8.46e-06,0.000135
"B2b","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (96); ESV_717","Polaribacter_1 (96); ESV_717",0.000343,0,344.1,0.118,1.1e-05,0.00017
"B2b","CC1","Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_597","Sulfitobacter (99); ESV_597",0.000965,5.2e-05,18.2,0.0176,1.28e-05,0.000193
"B2b","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (93); ESV_354","Polaribacter (93); ESV_354",0.001146,0.000169,6.7,0.0077,0.000109,0.0013
"B2b","CC1","Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (62); ESV_678","Amylibacter (62); ESV_678",0.00182,0.000533,3.4,0.0062,1.83e-05,0.000263
"B2b","CC1","Desulfobacterales (100); Desulfobulbaceae (100); Desulforhopalus (85); ESV_2058","Desulforhopalus (85); ESV_2058",0.00026,2.1e-05,12,0.0031,0.00159,0.0136
"B2b","CC1","Campylobacterales (100); Arcobacteraceae (100); Arcobacter (100); ESV_2621","Arcobacter (100); ESV_2621",0.00033,3.9e-05,8.2,0.0027,0.000551,0.00547
"B2b","CC1","Cellvibrionales (100); Spongiibacteraceae (100); BD1-7_clade (100); ESV_1132","BD1-7_clade (100); ESV_1132",0.000216,3.2e-05,6.5,0.0014,0.0016,0.0136
"B2b","CC5","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_130","uncultured (100); ESV_130",0.029192,0.007856,3.7,0.1085,8.09e-12,5.09e-10
"B2b","CC5","Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_709","NS11-12_marine_group_ge (100); ESV_709",0.010619,0.001854,5.7,0.0608,2.85e-12,2.04e-10
"B2b","CC5","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (90); ESV_322","Polaribacter_1 (90); ESV_322",0.009418,0.001522,6.2,0.0582,2.03e-11,1.14e-09
"B2b","CC5","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_261","SAR92_clade (100); ESV_261",0.012463,0.003589,3.5,0.0433,3.65e-09,1.36e-07
"B2b","CC5","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_622","NS4_marine_group (100); ESV_622",0.004832,0.000942,5.1,0.0248,2.19e-14,2.17e-12
"B2b","CC5","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_361","SAR92_clade (100); ESV_361",0.004775,0.001042,4.6,0.0219,3.07e-07,6.94e-06
"B2b","CC5","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (85); ESV_676","Polaribacter (85); ESV_676",0.006899,0.002686,2.6,0.0177,1.64e-06,3.19e-05
"B2b","CC5","Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_959","uncultured (100); ESV_959",0.002829,0.000769,3.7,0.0104,2.07e-06,3.92e-05
"B2b","CC5","Oceanospirillales (100); Saccharospirillaceae (100); Reinekea (100); ESV_1129","Reinekea (100); ESV_1129",0.003291,0.001329,2.5,0.0081,2.03e-07,4.77e-06
"B2b","CC5","Chitinophagales (100); Saprospiraceae (100); Portibacter (83); ESV_767","Portibacter (83); ESV_767",0.00117,0.000285,4.1,0.0048,1.32e-07,3.25e-06
"B2b","CC5","Flavobacteriales (99); Flavobacteriaceae (99); Lutibacter (87); ESV_1264","Lutibacter (87); ESV_1264",0.001426,0.000476,3,0.0043,0.000192,0.00213
"B2b","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9","Ulvibacter (99); ESV_9",0.09869,0.044215,2.2,0.2203,3.08e-08,8.37e-07
"B2b","CC6","Alteromonadales (100); Alteromonadaceae (100); Paraglaciecola (100); ESV_38","Paraglaciecola (100); ESV_38",0.015622,0.00742,2.1,0.0329,0.000124,0.00144
"C1a","CC1","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (100); ESV_210","Fluviicola (100); ESV_210",0.001927,6.6e-05,28.7,0.0554,5.2e-16,6.71e-14
"C1a","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Lutimonas (100); ESV_1235","Lutimonas (100); ESV_1235",0.002061,8.9e-05,22.9,0.0471,0.00274,0.0219
"C1a","CC1","Kiritimatiellales (100); Kiritimatiellaceae (100); R76-B128 (100); ESV_2333","R76-B128 (100); ESV_2333",0.000701,1.1e-05,60.4,0.0424,5.81e-05,0.000731
"C1a","CC1","Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_910","Candidatus_Nitrosopumilus (100); ESV_910",0.001499,5.7e-05,26,0.039,1.7e-06,3.27e-05
"C1a","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Dokdonia (98); ESV_2131","Dokdonia (98); ESV_2131",0.000289,2e-06,99.3,0.0287,5.81e-05,0.000731
"C1a","CC1","JGI_0000069-P22 (11); JGI_0000069-P22_fa (11); JGI_0000069-P22_ge (11); ESV_1988","JGI_0000069-P22_ge (11); ESV_1988",0.006038,0.001563,3.9,0.0233,1.26e-08,4.02e-07
"C1a","CC1","Cellvibrionales (100); Halieaceae (100); Halioglobus (99); ESV_1882","Halioglobus (99); ESV_1882",0.001519,1e-04,15.1,0.0229,0.000684,0.00649
"C1a","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Lutimonas (56); ESV_1019","Lutimonas (56); ESV_1019",0.001308,7.8e-05,16.6,0.0217,8.27e-06,0.000133
"C1a","CC1","Desulfobacterales (100); Desulfobulbaceae (100); uncultured (100); ESV_296","uncultured (100); ESV_296",0.001048,0.000181,5.8,0.006,0.00154,0.0131
"C1a","CC1","Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (85); ESV_864","Fluviicola (85); ESV_864",0.001145,0.000244,4.7,0.0054,0.00506,0.0381
"C1a","CC1","Cellvibrionales (100); Halieaceae (100); Halioglobus (99); ESV_1622","Halioglobus (99); ESV_1622",0.000612,8e-05,7.6,0.0046,0.00307,0.0241
"C1a","CC1","Bacteroidales (100); Marinifilaceae (100); uncultured (100); ESV_4665","uncultured (100); ESV_4665",0.000323,4.2e-05,7.6,0.0024,0.000622,0.00608
"C1a","CC2","Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","NS9_marine_group_ge (92); ESV_238",0.016497,0.001717,9.6,0.1585,1.39e-11,8.37e-10
"C1a","CC2","Alteromonadales (100); Psychromonadaceae (100); Psychromonas (100); ESV_559","Psychromonas (100); ESV_559",0.003485,0.000329,10.6,0.0368,2.44e-08,6.98e-07
"C1a","CC2","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_432","NS9_marine_group_ge (100); ESV_432",0.003548,0.001081,3.3,0.0116,0.00183,0.0155
"C1a","CC2","BD7-8 (96); BD7-8_fa (96); BD7-8_ge (96); ESV_885","BD7-8_ge (96); ESV_885",0.001068,0.000186,5.7,0.0061,0.000249,0.00268
"C1a","CC2","Thiotrichales (100); Thiotrichaceae (100); uncultured (100); ESV_2448","uncultured (100); ESV_2448",0.001216,0.000279,4.3,0.0053,1.79e-06,3.41e-05
"C1a","CC2","Alteromonadales (100); Moritellaceae (100); Moritella (100); ESV_654","Moritella (100); ESV_654",0.00054,7.4e-05,7.2,0.0039,3.59e-06,6.26e-05
"C1a","CC2","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (100); ESV_837","NS5_marine_group (100); ESV_837",0.000321,9.2e-05,3.5,0.0011,7.98e-05,0.00097
"C1a","CC4","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_266","NS9_marine_group_ge (100); ESV_266",0.012783,0.001423,9,0.1148,5e-13,4.45e-11
"C1a","CC4","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_133","NS9_marine_group_ge (100); ESV_133",0.012415,0.00166,7.5,0.0928,8.34e-11,4.14e-09
"C1a","CC4","Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30","Planktomarina (85); ESV_30",0.040271,0.019633,2.1,0.0826,3.13e-05,0.000428
"C1a","CC4","Flavobacteriales (100); Flavobacteriaceae (100); NS2b_marine_group (100); ESV_148","NS2b_marine_group (100); ESV_148",0.007787,0.001343,5.8,0.0451,2.67e-10,1.21e-08
"C1a","CC4","Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (99); ESV_15","OM60(NOR5)_clade (99); ESV_15",0.012748,0.005559,2.3,0.0292,5.95e-05,0.000745
"C1a","CC4","Nitrosococcales (88); Methylophagaceae (88); uncultured (78); ESV_156","uncultured (78); ESV_156",0.005165,0.000957,5.4,0.0279,3.86e-08,1.01e-06
"C1a","CC4","uncultured (100); uncultured_fa (100); uncultured_ge (100); ESV_425","uncultured_ge (100); ESV_425",0.0033,0.000491,6.7,0.0222,3.86e-08,1.01e-06
"C1a","CC4","Flavobacteriales (53); Cryomorphaceae (44); uncultured (43); ESV_504","uncultured (43); ESV_504",0.004725,0.001193,4,0.0187,5.38e-09,1.93e-07
"C1a","CC4","Verrucomicrobiales (100); Rubritaleaceae (100); Roseibacillus (99); ESV_59","Roseibacillus (99); ESV_59",0.003676,0.001063,3.5,0.0127,1.25e-07,3.13e-06
"C1a","CC4","Rhodospirillales (54); Magnetospiraceae (40); uncultured (27); ESV_262","uncultured (27); ESV_262",0.004245,0.001492,2.8,0.0121,2.58e-05,0.000362
"C1a","CC4","Cytophagales (70); Cyclobacteriaceae (69); uncultured (59); ESV_2022","uncultured (59); ESV_2022",0.002103,0.000447,4.7,0.0099,3.25e-08,8.69e-07
"C1a","CC4","Opitutales (100); Puniceicoccaceae (100); MB11C04_marine_group (100); ESV_652","MB11C04_marine_group (100); ESV_652",0.002832,0.000857,3.3,0.0093,6.02e-06,9.96e-05
"C1a","CC5","Cellvibrionales (100); Halieaceae (100); OM60(NOR5)_clade (50); ESV_544","OM60(NOR5)_clade (50); ESV_544",0.010736,0.004272,2.5,0.027,0.00249,0.0201
"C1a","CC5","Chitinophagales (100); Saprospiraceae (100); uncultured (100); ESV_1166","uncultured (100); ESV_1166",0.001951,0.000362,5.4,0.0105,1.34e-08,4.11e-07
"C1a","CC6","Verrucomicrobiales (100); Rubritaleaceae (100); Persicirhabdus (100); ESV_190","Persicirhabdus (100); ESV_190",0.037134,0.010497,3.5,0.1314,1.57e-07,3.8e-06
"C1a","CC6","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_34","uncultured (100); ESV_34",0.055243,0.025942,2.1,0.1176,2.96e-06,5.41e-05
"C1a","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (59); ESV_48","Tenacibaculum (59); ESV_48",0.032665,0.016042,2,0.0665,1.24e-06,2.49e-05
"C1a","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (98); ESV_139","Ulvibacter (98); ESV_139",0.014305,0.006781,2.1,0.0302,4.56e-05,0.000601
"C1b","CC1","Thiotrichales (2); Thiotrichaceae (2); uncultured (2); ESV_1880","uncultured (2); ESV_1880",0.000439,0,440.4,0.1936,1.3e-08,4.09e-07
"C1b","CC1","Oligoflexales (0); Oligoflexaceae (0); uncultured (0); ESV_13955","uncultured (0); ESV_13955",0.000156,0,156.9,0.0245,4.83e-05,0.000623
"C1b","CC1","Lokiarchaeia_or (9); Lokiarchaeia_fa (9); Lokiarchaeia_ge (9); ESV_3575","Lokiarchaeia_ge (9); ESV_3575",0.000822,6.9e-05,11.8,0.0097,4.07e-05,0.000542
"C1b","CC1","Spirochaetales (20); Spirochaetaceae (20); uncultured (20); ESV_4484","uncultured (20); ESV_4484",0.000224,7e-06,26.7,0.006,0.000727,0.0068
"C1b","CC1","Flavobacteriales (88); Cryomorphaceae (27); uncultured (27); ESV_1379","uncultured (27); ESV_1379",0.000628,9.7e-05,6.4,0.004,7.98e-05,0.00097
"C1b","CC1","Lentisphaerales (100); Lentisphaeraceae (100); Lentisphaera (100); ESV_12966","Lentisphaera (100); ESV_12966",9.3e-05,3.1e-05,2.9,3e-04,0.000848,0.00771
"C1b","CC2","Pirellulales (100); Pirellulaceae (100); Blastopirellula (100); ESV_2431","Blastopirellula (100); ESV_2431",0.002557,0,2558.1,6.5411,3.11e-17,4.46e-15
"C1b","CC2","Nostocales (5); Phormidiaceae (4); Trichodesmium_IMS101 (4); ESV_3693","Trichodesmium_IMS101 (4); ESV_3693",0.002399,0,2399.9,5.7569,5.73e-16,7.05e-14
"C1b","CC2","Mycoplasmatales (8); Mycoplasmataceae (8); uncultured (5); ESV_889","uncultured (5); ESV_889",0.018286,0.000182,100.1,1.8307,8.74e-23,5.64e-20
"C1b","CC2","Enterobacteriales (12); Enterobacteriaceae (12); endosymbionts2 (7); ESV_967","endosymbionts2 (7); ESV_967",0.000928,0,928.8,0.8617,2.03e-07,4.77e-06
