"s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","index","stat","p.value","ASV","indicator_cluster"
0,0,0,0,0,0,0,0,1,1,55,0.613007949691238,0.001,"Rickettsiales (5); Anaplasmataceae (1); Wolbachia (1); ESV_1127","9+10"
1,1,1,1,1,0,0,1,0,1,856,0.771842000261451,0.001,"Oceanospirillales (100); Saccharospirillaceae (100); Reinekea (100); ESV_1129","1+2+3+4+5+8+10"
0,0,0,0,0,1,1,1,1,1,637,0.887046491248614,0.001,"Flavobacteriales (100); Cryomorphaceae (100); NS10_marine_group (100); ESV_1155","6+7+8+9+10"
0,0,1,1,1,1,0,0,0,0,316,0.672815587333828,0.001,"Chitinophagales (100); Saprospiraceae (100); uncultured (100); ESV_1166","3+4+5+6"
0,0,0,1,1,0,0,0,1,1,360,0.577350269189626,0.001,"Flavobacteriales (99); Flavobacteriaceae (99); Lutibacter (87); ESV_1264","4+5+9+10"
0,0,0,0,0,0,0,1,0,0,8,0.809582284318164,0.001,"JGI_0000069-P22 (18); JGI_0000069-P22_fa (18); JGI_0000069-P22_ge (18); ESV_1333","8"
0,0,0,0,0,0,0,1,0,1,54,0.613666792702781,0.001,"Flavobacteriales (76); Cryomorphaceae (27); uncultured (21); ESV_1451","8+10"
0,0,0,0,0,0,0,1,0,0,8,0.708128003027823,0.001,"Betaproteobacteriales (100); Burkholderiaceae (100); RS62_marine_group (100); ESV_1499","8"
0,0,0,1,0,0,0,0,0,0,4,0.618867592391817,0.001,"OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_1503","4"
0,0,0,0,0,0,0,1,0,0,8,0.655279725513647,0.001,"Spirochaetales (16); Spirochaetaceae (16); uncultured (16); ESV_1728","8"
0,1,1,1,1,1,0,1,0,1,936,0.770823157855229,0.001,"Bdellovibrionales (100); Bacteriovoracaceae (100); Peredibacter (100); ESV_1747","2+3+4+5+6+8+10"
0,0,0,0,0,0,0,1,0,0,8,0.951735705119355,0.001,"Oceanospirillales (100); Litoricolaceae (100); Litoricola (100); ESV_1803","8"
0,0,0,0,0,1,0,1,0,0,47,0.633922163983497,0.001,"Cytophagales (70); Cyclobacteriaceae (69); uncultured (59); ESV_2022","6+8"
0,0,0,0,0,0,0,1,0,0,8,0.5,0.001,"Nostocales (100); Microcystaceae (100); Atelocyanobacterium_(UCYN-A) (99); ESV_2177","8"
0,0,0,0,0,0,0,1,0,0,8,0.625790549985348,0.001,"Betaproteobacteriales (100); Nitrosomonadaceae (100); IS-44 (100); ESV_2301","8"
0,0,0,0,0,0,1,0,0,0,7,0.658280588604383,0.001,"Pirellulales (100); Pirellulaceae (100); Blastopirellula (100); ESV_2431","7"
