"PC","test","pair","R2","F_value","p_value","sig"
"PC7","Pairwise PERMDISP","A vs C1",NA,NA,0.0298,"*"
"PC7","Pairwise PERMDISP","A vs C2",NA,NA,0.928,"ns"
"PC7","Pairwise PERMDISP","B vs C1",NA,NA,0.0188,"*"
"PC7","Pairwise PERMDISP","B vs C2",NA,NA,0.9974,"ns"
"PC7","Pairwise PERMDISP","C1 vs C2",NA,NA,0.0395,"*"
"PC8","PERMANOVA (overall)","A/B/C1/C2",0.0068,0.39,0.768,"ns"
"PC8","PERMDISP (overall)","A/B/C1/C2",NA,0.67,0.571,"ns"
"PC8","Pairwise PERMANOVA","A vs B",4e-04,0.03,0.844,"ns"
"PC8","Pairwise PERMANOVA","A vs C1",0.0057,0.37,0.844,"ns"
"PC8","Pairwise PERMANOVA","A vs C2",6e-04,0.04,0.844,"ns"
"PC8","Pairwise PERMANOVA","B vs C1",0.0123,1.22,0.844,"ns"
"PC8","Pairwise PERMANOVA","B vs C2",0.0028,0.3,0.844,"ns"
"PC8","Pairwise PERMANOVA","C1 vs C2",0.0032,0.29,0.844,"ns"
"PC8","Pairwise PERMDISP","A vs B",NA,NA,0.6299,"ns"
"PC8","Pairwise PERMDISP","A vs C1",NA,NA,0.5461,"ns"
"PC8","Pairwise PERMDISP","A vs C2",NA,NA,0.6267,"ns"
"PC8","Pairwise PERMDISP","B vs C1",NA,NA,0.9954,"ns"
"PC8","Pairwise PERMDISP","B vs C2",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9974,"ns"
"PC9","PERMANOVA (overall)","A/B/C1/C2",0.0146,0.84,0.487,"ns"
"PC9","PERMDISP (overall)","A/B/C1/C2",NA,3.96,0.0093,"**"
"PC9","Pairwise PERMANOVA","A vs B",0.0216,1.75,0.651,"ns"
"PC9","Pairwise PERMANOVA","A vs C1",0.0067,0.44,0.725,"ns"
"PC9","Pairwise PERMANOVA","A vs C2",0.0013,0.09,0.725,"ns"
"PC9","Pairwise PERMANOVA","B vs C1",0.0095,0.94,0.725,"ns"
"PC9","Pairwise PERMANOVA","B vs C2",0.0147,1.56,0.651,"ns"
"PC9","Pairwise PERMANOVA","C1 vs C2",0.0017,0.15,0.725,"ns"
"PC9","Pairwise PERMDISP","A vs B",NA,NA,0.1352,"ns"
"PC9","Pairwise PERMDISP","A vs C1",NA,NA,0.0166,"*"
"PC9","Pairwise PERMDISP","A vs C2",NA,NA,0.8039,"ns"
"PC9","Pairwise PERMDISP","B vs C1",NA,NA,0.6538,"ns"
"PC9","Pairwise PERMDISP","B vs C2",NA,NA,0.3973,"ns"
"PC9","Pairwise PERMDISP","C1 vs C2",NA,NA,0.0506,"ns"
