"PC","test","pair","R2","F_value","p_value","sig"
"PC1","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.9987,"ns"
"PC1","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.9869,"ns"
"PC1","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,1,"ns"
"PC2","PERMANOVA (overall)","11 clusters",0.2315,4.91,0.001,"***"
"PC2","PERMDISP (overall)","11 clusters",NA,2.17,0.022,"*"
"PC2","Pairwise PERMANOVA","A1 vs A2",0.0626,1.47,0.3419,"ns"
"PC2","Pairwise PERMANOVA","A1 vs B1",0.0141,0.33,0.6717,"ns"
"PC2","Pairwise PERMANOVA","A1 vs B2a",0.0847,2.13,0.2878,"ns"
"PC2","Pairwise PERMANOVA","A1 vs B2b",0.0461,1.55,0.3193,"ns"
"PC2","Pairwise PERMANOVA","A1 vs C1a",8e-04,0.02,0.9456,"ns"
"PC2","Pairwise PERMANOVA","A1 vs C1b1",1e-04,0,0.976,"ns"
"PC2","Pairwise PERMANOVA","A1 vs C1b2",0.0547,1.5,0.3667,"ns"
"PC2","Pairwise PERMANOVA","A1 vs C2a",0.1074,2.29,0.2878,"ns"
"PC2","Pairwise PERMANOVA","A1 vs C2b1",0.0835,1.73,0.3193,"ns"
"PC2","Pairwise PERMANOVA","A1 vs C2b2",0.102,3.75,0.17,"ns"
"PC2","Pairwise PERMANOVA","A2 vs B1",0.0442,1.34,0.3445,"ns"
"PC2","Pairwise PERMANOVA","A2 vs B2a",0.22,8.18,0.035,"*"
"PC2","Pairwise PERMANOVA","A2 vs B2b",0.1997,9.48,0.0183,"*"
"PC2","Pairwise PERMANOVA","A2 vs C1a",0.0644,1.86,0.3033,"ns"
"PC2","Pairwise PERMANOVA","A2 vs C1b1",0.0755,1.88,0.3016,"ns"
"PC2","Pairwise PERMANOVA","A2 vs C1b2",0.0122,0.4,0.6588,"ns"
"PC2","Pairwise PERMANOVA","A2 vs C2a",0,0,0.976,"ns"
"PC2","Pairwise PERMANOVA","A2 vs C2b1",0.2019,6.32,0.0513,"ns"
"PC2","Pairwise PERMANOVA","A2 vs C2b2",0.2623,13.87,0.0183,"*"
"PC2","Pairwise PERMANOVA","B1 vs B2a",0.2039,7.68,0.0423,"*"
"PC2","Pairwise PERMANOVA","B1 vs B2b",0.1461,6.67,0.0688,"ns"
"PC2","Pairwise PERMANOVA","B1 vs C1a",0.0086,0.24,0.723,"ns"
"PC2","Pairwise PERMANOVA","B1 vs C1b1",0.0214,0.53,0.6351,"ns"
"PC2","Pairwise PERMANOVA","B1 vs C1b2",0.0235,0.8,0.5527,"ns"
"PC2","Pairwise PERMANOVA","B1 vs C2a",0.074,2.08,0.3033,"ns"
"PC2","Pairwise PERMANOVA","B1 vs C2b1",0.1929,6.21,0.0733,"ns"
"PC2","Pairwise PERMANOVA","B1 vs C2b2",0.2351,12.29,0.022,"*"
"PC2","Pairwise PERMANOVA","B2a vs B2b",0.009,0.36,0.6717,"ns"
"PC2","Pairwise PERMANOVA","B2a vs C1a",0.1133,3.58,0.1676,"ns"
"PC2","Pairwise PERMANOVA","B2a vs C1b1",0.1505,4.25,0.1676,"ns"
"PC2","Pairwise PERMANOVA","B2a vs C1b2",0.2858,13.21,0.0183,"*"
"PC2","Pairwise PERMANOVA","B2a vs C2a",0.3389,13.33,0.0183,"*"
"PC2","Pairwise PERMANOVA","B2a vs C2b1",1e-04,0,0.976,"ns"
"PC2","Pairwise PERMANOVA","B2a vs C2b2",0.0035,0.14,0.7835,"ns"
"PC2","Pairwise PERMANOVA","B2b vs C1a",0.0709,2.82,0.22,"ns"
"PC2","Pairwise PERMANOVA","B2b vs C1b1",0.0784,2.81,0.2285,"ns"
"PC2","Pairwise PERMANOVA","B2b vs C1b2",0.2392,13.21,0.0183,"*"
"PC2","Pairwise PERMANOVA","B2b vs C2a",0.2891,14.23,0.0183,"*"
"PC2","Pairwise PERMANOVA","B2b vs C2b1",0.0094,0.33,0.6717,"ns"
"PC2","Pairwise PERMANOVA","B2b vs C2b2",0.0251,1.26,0.3699,"ns"
"PC2","Pairwise PERMANOVA","C1a vs C1b1",7e-04,0.02,0.9456,"ns"
"PC2","Pairwise PERMANOVA","C1a vs C1b2",0.0497,1.62,0.3193,"ns"
"PC2","Pairwise PERMANOVA","C1a vs C2a",0.1022,2.73,0.2546,"ns"
"PC2","Pairwise PERMANOVA","C1a vs C2b1",0.1076,2.89,0.22,"ns"
"PC2","Pairwise PERMANOVA","C1a vs C2b2",0.1416,6.27,0.0733,"ns"
"PC2","Pairwise PERMANOVA","C1b1 vs C1b2",0.0794,2.33,0.2691,"ns"
"PC2","Pairwise PERMANOVA","C1b1 vs C2a",0.1557,3.69,0.1676,"ns"
"PC2","Pairwise PERMANOVA","C1b1 vs C2b1",0.1519,3.58,0.1985,"ns"
"PC2","Pairwise PERMANOVA","C1b1 vs C2b2",0.1588,6.42,0.0513,"ns"
"PC2","Pairwise PERMANOVA","C1b2 vs C2a",0.018,0.53,0.6588,"ns"
"PC2","Pairwise PERMANOVA","C1b2 vs C2b1",0.2659,10.51,0.0183,"*"
"PC2","Pairwise PERMANOVA","C1b2 vs C2b2",0.3267,20.86,0.0183,"*"
"PC2","Pairwise PERMANOVA","C2a vs C2b1",0.3232,10.51,0.0412,"*"
"PC2","Pairwise PERMANOVA","C2a vs C2b2",0.3613,20.36,0.0183,"*"
"PC2","Pairwise PERMANOVA","C2b1 vs C2b2",0.0022,0.08,0.8569,"ns"
"PC2","Pairwise PERMDISP","A1 vs A2",NA,NA,0.4281,"ns"
"PC2","Pairwise PERMDISP","A1 vs B1",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","A1 vs B2a",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","A1 vs B2b",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","A1 vs C1a",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","A1 vs C1b1",NA,NA,0.9918,"ns"
"PC2","Pairwise PERMDISP","A1 vs C1b2",NA,NA,0.9973,"ns"
"PC2","Pairwise PERMDISP","A1 vs C2a",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","A1 vs C2b1",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","A1 vs C2b2",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","A2 vs B1",NA,NA,0.0553,"ns"
"PC2","Pairwise PERMDISP","A2 vs B2a",NA,NA,0.0483,"*"
"PC2","Pairwise PERMDISP","A2 vs B2b",NA,NA,0.0153,"*"
"PC2","Pairwise PERMDISP","A2 vs C1a",NA,NA,0.2207,"ns"
"PC2","Pairwise PERMDISP","A2 vs C1b1",NA,NA,0.0174,"*"
"PC2","Pairwise PERMDISP","A2 vs C1b2",NA,NA,0.0058,"**"
"PC2","Pairwise PERMDISP","A2 vs C2a",NA,NA,0.3306,"ns"
"PC2","Pairwise PERMDISP","A2 vs C2b1",NA,NA,0.173,"ns"
"PC2","Pairwise PERMDISP","A2 vs C2b2",NA,NA,0.015,"*"
"PC2","Pairwise PERMDISP","B1 vs B2a",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B1 vs B2b",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B1 vs C1a",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B1 vs C1b1",NA,NA,0.9995,"ns"
"PC2","Pairwise PERMDISP","B1 vs C1b2",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B1 vs C2a",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B1 vs C2b1",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B1 vs C2b2",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B2a vs B2b",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B2a vs C1a",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B2a vs C1b1",NA,NA,0.9997,"ns"
"PC2","Pairwise PERMDISP","B2a vs C1b2",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B2a vs C2a",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B2a vs C2b1",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B2a vs C2b2",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B2b vs C1a",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B2b vs C1b1",NA,NA,0.9996,"ns"
"PC2","Pairwise PERMDISP","B2b vs C1b2",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B2b vs C2a",NA,NA,0.9999,"ns"
"PC2","Pairwise PERMDISP","B2b vs C2b1",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","B2b vs C2b2",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","C1a vs C1b1",NA,NA,0.9861,"ns"
"PC2","Pairwise PERMDISP","C1a vs C1b2",NA,NA,0.9943,"ns"
"PC2","Pairwise PERMDISP","C1a vs C2a",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","C1a vs C2b1",NA,NA,1,"ns"
