"PC","test","pair","R2","F_value","p_value","sig"
"PC6","Pairwise PERMDISP","A2 vs C2b1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","A2 vs C2b2",NA,NA,0.9998,"ns"
"PC6","Pairwise PERMDISP","B1 vs B2a",NA,NA,0.9988,"ns"
"PC6","Pairwise PERMDISP","B1 vs B2b",NA,NA,0.9231,"ns"
"PC6","Pairwise PERMDISP","B1 vs C1a",NA,NA,0.9773,"ns"
"PC6","Pairwise PERMDISP","B1 vs C1b1",NA,NA,0.9989,"ns"
"PC6","Pairwise PERMDISP","B1 vs C1b2",NA,NA,0.9999,"ns"
"PC6","Pairwise PERMDISP","B1 vs C2a",NA,NA,0.5968,"ns"
"PC6","Pairwise PERMDISP","B1 vs C2b1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","B1 vs C2b2",NA,NA,0.9765,"ns"
"PC6","Pairwise PERMDISP","B2a vs B2b",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","B2a vs C1a",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","B2a vs C1b1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","B2a vs C1b2",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","B2a vs C2a",NA,NA,0.9699,"ns"
"PC6","Pairwise PERMDISP","B2a vs C2b1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","B2a vs C2b2",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","B2b vs C1a",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","B2b vs C1b1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","B2b vs C1b2",NA,NA,0.9991,"ns"
"PC6","Pairwise PERMDISP","B2b vs C2a",NA,NA,0.9981,"ns"
"PC6","Pairwise PERMDISP","B2b vs C2b1",NA,NA,0.9958,"ns"
"PC6","Pairwise PERMDISP","B2b vs C2b2",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","C1a vs C1b1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","C1a vs C1b2",NA,NA,0.9999,"ns"
"PC6","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.9987,"ns"
"PC6","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.9991,"ns"
"PC6","Pairwise PERMDISP","C1a vs C2b2",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","C1b1 vs C1b2",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","C1b1 vs C2a",NA,NA,0.9932,"ns"
"PC6","Pairwise PERMDISP","C1b1 vs C2b1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","C1b1 vs C2b2",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","C1b2 vs C2a",NA,NA,0.9023,"ns"
"PC6","Pairwise PERMDISP","C1b2 vs C2b1",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","C1b2 vs C2b2",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.867,"ns"
"PC6","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.9876,"ns"
"PC6","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,0.9995,"ns"
"PC7","PERMANOVA (overall)","11 clusters",0.1302,2.44,0.017,"*"
"PC7","PERMDISP (overall)","11 clusters",NA,1.91,0.0475,"*"
"PC7","Pairwise PERMANOVA","A1 vs A2",0.0201,0.45,0.7903,"ns"
"PC7","Pairwise PERMANOVA","A1 vs B1",0.1024,2.62,0.308,"ns"
"PC7","Pairwise PERMANOVA","A1 vs B2a",0.0265,0.63,0.7554,"ns"
"PC7","Pairwise PERMANOVA","A1 vs B2b",0.0257,0.84,0.7191,"ns"
"PC7","Pairwise PERMANOVA","A1 vs C1a",0.1517,3.76,0.2232,"ns"
"PC7","Pairwise PERMANOVA","A1 vs C1b1",0,0,0.989,"ns"
"PC7","Pairwise PERMANOVA","A1 vs C1b2",1e-04,0,0.989,"ns"
"PC7","Pairwise PERMANOVA","A1 vs C2a",0.0868,1.8,0.505,"ns"
"PC7","Pairwise PERMANOVA","A1 vs C2b1",4e-04,0.01,0.989,"ns"
"PC7","Pairwise PERMANOVA","A1 vs C2b2",0.0071,0.24,0.8346,"ns"
"PC7","Pairwise PERMANOVA","A2 vs B1",0.1708,5.97,0.0931,"ns"
"PC7","Pairwise PERMANOVA","A2 vs B2a",0,0,0.989,"ns"
"PC7","Pairwise PERMANOVA","A2 vs B2b",0,0,0.989,"ns"
"PC7","Pairwise PERMANOVA","A2 vs C1a",0.1828,6.04,0.08,"ns"
"PC7","Pairwise PERMANOVA","A2 vs C1b1",0.0268,0.63,0.7554,"ns"
"PC7","Pairwise PERMANOVA","A2 vs C1b2",0.0257,0.84,0.7207,"ns"
"PC7","Pairwise PERMANOVA","A2 vs C2a",0.0078,0.2,0.8346,"ns"
"PC7","Pairwise PERMANOVA","A2 vs C2b1",0.0168,0.43,0.7903,"ns"
"PC7","Pairwise PERMANOVA","A2 vs C2b2",0.0035,0.14,0.8346,"ns"
"PC7","Pairwise PERMANOVA","B1 vs B2a",0.2037,7.67,0.055,"ns"
"PC7","Pairwise PERMANOVA","B1 vs B2b",0.224,11.26,0.0367,"*"
"PC7","Pairwise PERMANOVA","B1 vs C1a",0.0125,0.35,0.7903,"ns"
"PC7","Pairwise PERMANOVA","B1 vs C1b1",0.1279,3.52,0.2232,"ns"
"PC7","Pairwise PERMANOVA","B1 vs C1b2",0.1463,5.65,0.0931,"ns"
"PC7","Pairwise PERMANOVA","B1 vs C2a",0.2973,11,0.055,"ns"
"PC7","Pairwise PERMANOVA","B1 vs C2b1",0.1174,3.46,0.2232,"ns"
"PC7","Pairwise PERMANOVA","B1 vs C2b2",0.1484,6.97,0.0605,"ns"
"PC7","Pairwise PERMANOVA","B2a vs B2b",1e-04,0,0.989,"ns"
"PC7","Pairwise PERMANOVA","B2a vs C1a",0.2421,8.94,0.055,"ns"
"PC7","Pairwise PERMANOVA","B2a vs C1b1",0.037,0.92,0.7191,"ns"
"PC7","Pairwise PERMANOVA","B2a vs C1b2",0.0338,1.15,0.6644,"ns"
"PC7","Pairwise PERMANOVA","B2a vs C2a",0.0098,0.26,0.8332,"ns"
"PC7","Pairwise PERMANOVA","B2a vs C2b1",0.0218,0.58,0.7554,"ns"
"PC7","Pairwise PERMANOVA","B2a vs C2b2",0.0044,0.18,0.8346,"ns"
"PC7","Pairwise PERMANOVA","B2b vs C1a",0.2535,12.56,0.0367,"*"
"PC7","Pairwise PERMANOVA","B2b vs C1b1",0.036,1.23,0.5912,"ns"
"PC7","Pairwise PERMANOVA","B2b vs C1b2",0.0354,1.54,0.5912,"ns"
"PC7","Pairwise PERMANOVA","B2b vs C2a",0.0131,0.46,0.7554,"ns"
"PC7","Pairwise PERMANOVA","B2b vs C2b1",0.0216,0.77,0.7554,"ns"
"PC7","Pairwise PERMANOVA","B2b vs C2b2",0.0042,0.21,0.8346,"ns"
"PC7","Pairwise PERMANOVA","C1a vs C1b1",0.2962,9.26,0.055,"ns"
"PC7","Pairwise PERMANOVA","C1a vs C1b2",0.1952,7.52,0.055,"ns"
"PC7","Pairwise PERMANOVA","C1a vs C2a",0.4699,21.27,0.0367,"*"
"PC7","Pairwise PERMANOVA","C1a vs C2b1",0.148,4.17,0.165,"ns"
"PC7","Pairwise PERMANOVA","C1a vs C2b2",0.139,6.14,0.0605,"ns"
"PC7","Pairwise PERMANOVA","C1b1 vs C1b2",4e-04,0.01,0.989,"ns"
"PC7","Pairwise PERMANOVA","C1b1 vs C2a",0.1337,3.09,0.2518,"ns"
"PC7","Pairwise PERMANOVA","C1b1 vs C2b1",9e-04,0.02,0.989,"ns"
"PC7","Pairwise PERMANOVA","C1b1 vs C2b2",0.0097,0.33,0.8038,"ns"
"PC7","Pairwise PERMANOVA","C1b2 vs C2a",0.1044,3.38,0.2518,"ns"
"PC7","Pairwise PERMANOVA","C1b2 vs C2b1",2e-04,0,0.989,"ns"
"PC7","Pairwise PERMANOVA","C1b2 vs C2b2",0.0093,0.4,0.7903,"ns"
"PC7","Pairwise PERMANOVA","C2a vs C2b1",0.0719,1.7,0.505,"ns"
"PC7","Pairwise PERMANOVA","C2a vs C2b2",0.0241,0.89,0.7207,"ns"
"PC7","Pairwise PERMANOVA","C2b1 vs C2b2",0.0051,0.19,0.8346,"ns"
"PC7","Pairwise PERMDISP","A1 vs A2",NA,NA,0.9531,"ns"
"PC7","Pairwise PERMDISP","A1 vs B1",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","A1 vs B2a",NA,NA,0.9882,"ns"
"PC7","Pairwise PERMDISP","A1 vs B2b",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","A1 vs C1a",NA,NA,0.9179,"ns"
"PC7","Pairwise PERMDISP","A1 vs C1b1",NA,NA,0.9999,"ns"
"PC7","Pairwise PERMDISP","A1 vs C1b2",NA,NA,0.9999,"ns"
"PC7","Pairwise PERMDISP","A1 vs C2a",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","A1 vs C2b1",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","A1 vs C2b2",NA,NA,0.9994,"ns"
"PC7","Pairwise PERMDISP","A2 vs B1",NA,NA,0.9934,"ns"
"PC7","Pairwise PERMDISP","A2 vs B2a",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","A2 vs B2b",NA,NA,0.9232,"ns"
"PC7","Pairwise PERMDISP","A2 vs C1a",NA,NA,0.0474,"*"
"PC7","Pairwise PERMDISP","A2 vs C1b1",NA,NA,0.5839,"ns"
"PC7","Pairwise PERMDISP","A2 vs C1b2",NA,NA,0.3721,"ns"
"PC7","Pairwise PERMDISP","A2 vs C2a",NA,NA,0.845,"ns"
"PC7","Pairwise PERMDISP","A2 vs C2b1",NA,NA,0.9991,"ns"
"PC7","Pairwise PERMDISP","A2 vs C2b2",NA,NA,0.9989,"ns"
"PC7","Pairwise PERMDISP","B1 vs B2a",NA,NA,0.9995,"ns"
"PC7","Pairwise PERMDISP","B1 vs B2b",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","B1 vs C1a",NA,NA,0.4372,"ns"
"PC7","Pairwise PERMDISP","B1 vs C1b1",NA,NA,0.9835,"ns"
"PC7","Pairwise PERMDISP","B1 vs C1b2",NA,NA,0.9618,"ns"
"PC7","Pairwise PERMDISP","B1 vs C2a",NA,NA,0.9998,"ns"
"PC7","Pairwise PERMDISP","B1 vs C2b1",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","B1 vs C2b2",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","B2a vs B2b",NA,NA,0.9841,"ns"
"PC7","Pairwise PERMDISP","B2a vs C1a",NA,NA,0.0929,"ns"
"PC7","Pairwise PERMDISP","B2a vs C1b1",NA,NA,0.7466,"ns"
"PC7","Pairwise PERMDISP","B2a vs C1b2",NA,NA,0.5596,"ns"
"PC7","Pairwise PERMDISP","B2a vs C2a",NA,NA,0.942,"ns"
"PC7","Pairwise PERMDISP","B2a vs C2b1",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","B2a vs C2b2",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","B2b vs C1a",NA,NA,0.5058,"ns"
"PC7","Pairwise PERMDISP","B2b vs C1b1",NA,NA,0.9959,"ns"
"PC7","Pairwise PERMDISP","B2b vs C1b2",NA,NA,0.9881,"ns"
"PC7","Pairwise PERMDISP","B2b vs C2a",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","B2b vs C2b1",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","B2b vs C2b2",NA,NA,0.9996,"ns"
"PC7","Pairwise PERMDISP","C1a vs C1b1",NA,NA,0.9984,"ns"
"PC7","Pairwise PERMDISP","C1a vs C1b2",NA,NA,0.9899,"ns"
"PC7","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.9334,"ns"
"PC7","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.4498,"ns"
"PC7","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.1464,"ns"
"PC7","Pairwise PERMDISP","C1b1 vs C1b2",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","C1b1 vs C2a",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","C1b1 vs C2b1",NA,NA,0.9762,"ns"
"PC7","Pairwise PERMDISP","C1b1 vs C2b2",NA,NA,0.8951,"ns"
"PC7","Pairwise PERMDISP","C1b2 vs C2a",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","C1b2 vs C2b1",NA,NA,0.9522,"ns"
"PC7","Pairwise PERMDISP","C1b2 vs C2b2",NA,NA,0.7515,"ns"
"PC7","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.9993,"ns"
"PC7","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.9918,"ns"
"PC7","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,1,"ns"
"PC8","PERMANOVA (overall)","11 clusters",0.0959,1.73,0.069,"ns"
"PC8","PERMDISP (overall)","11 clusters",NA,1.2,0.2936,"ns"
"PC8","Pairwise PERMANOVA","A1 vs A2",0.0528,1.23,0.4968,"ns"
"PC8","Pairwise PERMANOVA","A1 vs B1",6e-04,0.01,0.9682,"ns"
"PC8","Pairwise PERMANOVA","A1 vs B2a",0.0085,0.2,0.8465,"ns"
"PC8","Pairwise PERMANOVA","A1 vs B2b",0.0744,2.57,0.3025,"ns"
"PC8","Pairwise PERMANOVA","A1 vs C1a",0.1844,4.75,0.3025,"ns"
"PC8","Pairwise PERMANOVA","A1 vs C1b1",0.1356,2.67,0.3025,"ns"
"PC8","Pairwise PERMANOVA","A1 vs C1b2",8e-04,0.02,0.9682,"ns"
"PC8","Pairwise PERMANOVA","A1 vs C2a",0,0,0.99,"ns"
"PC8","Pairwise PERMANOVA","A1 vs C2b1",0.0147,0.28,0.8363,"ns"
"PC8","Pairwise PERMANOVA","A1 vs C2b2",0.0925,3.37,0.3025,"ns"
"PC8","Pairwise PERMANOVA","A2 vs B1",0.0498,1.52,0.4583,"ns"
"PC8","Pairwise PERMANOVA","A2 vs B2a",0.0274,0.82,0.6944,"ns"
"PC8","Pairwise PERMANOVA","A2 vs B2b",3e-04,0.01,0.9682,"ns"
"PC8","Pairwise PERMANOVA","A2 vs C1a",0.0219,0.61,0.7069,"ns"
"PC8","Pairwise PERMANOVA","A2 vs C1b1",0.0265,0.63,0.7069,"ns"
"PC8","Pairwise PERMANOVA","A2 vs C1b2",0.0544,1.84,0.429,"ns"
"PC8","Pairwise PERMANOVA","A2 vs C2a",0.0491,1.29,0.4968,"ns"
"PC8","Pairwise PERMANOVA","A2 vs C2b1",0.0266,0.68,0.6944,"ns"
"PC8","Pairwise PERMANOVA","A2 vs C2b2",0.003,0.12,0.8465,"ns"
"PC8","Pairwise PERMANOVA","B1 vs B2a",0.0052,0.16,0.8465,"ns"
"PC8","Pairwise PERMANOVA","B1 vs B2b",0.07,2.94,0.3025,"ns"
"PC8","Pairwise PERMANOVA","B1 vs C1a",0.1644,5.51,0.3025,"ns"
"PC8","Pairwise PERMANOVA","B1 vs C1b1",0.129,3.56,0.3025,"ns"
"PC8","Pairwise PERMANOVA","B1 vs C1b2",0,0,0.99,"ns"
"PC8","Pairwise PERMANOVA","B1 vs C2a",4e-04,0.01,0.9682,"ns"
"PC8","Pairwise PERMANOVA","B1 vs C2b1",0.0088,0.23,0.8465,"ns"
"PC8","Pairwise PERMANOVA","B1 vs C2b2",0.0953,4.22,0.3025,"ns"
"PC8","Pairwise PERMANOVA","B2a vs B2b",0.0377,1.53,0.4583,"ns"
"PC8","Pairwise PERMANOVA","B2a vs C1a",0.1289,4.14,0.3025,"ns"
"PC8","Pairwise PERMANOVA","B2a vs C1b1",0.1016,2.72,0.3025,"ns"
"PC8","Pairwise PERMANOVA","B2a vs C1b2",0.0053,0.18,0.8465,"ns"
"PC8","Pairwise PERMANOVA","B2a vs C2a",0.0074,0.19,0.8465,"ns"
"PC8","Pairwise PERMANOVA","B2a vs C2b1",3e-04,0.01,0.9682,"ns"
"PC8","Pairwise PERMANOVA","B2a vs C2b2",0.0617,2.63,0.3025,"ns"
"PC8","Pairwise PERMANOVA","B2b vs C1a",0.0543,2.13,0.3707,"ns"
"PC8","Pairwise PERMANOVA","B2b vs C1b1",0.0492,1.71,0.429,"ns"
"PC8","Pairwise PERMANOVA","B2b vs C1b2",0.0788,3.59,0.3025,"ns"
"PC8","Pairwise PERMANOVA","B2b vs C2a",0.0667,2.5,0.3025,"ns"
"PC8","Pairwise PERMANOVA","B2b vs C2b1",0.0393,1.43,0.4852,"ns"
"PC8","Pairwise PERMANOVA","B2b vs C2b2",0.0092,0.46,0.77,"ns"
"PC8","Pairwise PERMANOVA","C1a vs C1b1",0.005,0.11,0.8695,"ns"
"PC8","Pairwise PERMANOVA","C1a vs C1b2",0.1841,6.99,0.3025,"ns"
"PC8","Pairwise PERMANOVA","C1a vs C2a",0.1512,4.27,0.3025,"ns"
"PC8","Pairwise PERMANOVA","C1a vs C2b1",0.1781,5.2,0.3025,"ns"
"PC8","Pairwise PERMANOVA","C1a vs C2b2",0.0112,0.43,0.77,"ns"
"PC8","Pairwise PERMANOVA","C1b1 vs C1b2",0.1405,4.41,0.3025,"ns"
"PC8","Pairwise PERMANOVA","C1b1 vs C2a",0.1216,2.77,0.3025,"ns"
"PC8","Pairwise PERMANOVA","C1b1 vs C2b1",0.1163,2.63,0.3025,"ns"
"PC8","Pairwise PERMANOVA","C1b1 vs C2b2",0.0184,0.64,0.7213,"ns"
"PC8","Pairwise PERMANOVA","C1b2 vs C2a",6e-04,0.02,0.9682,"ns"
"PC8","Pairwise PERMANOVA","C1b2 vs C2b1",0.0092,0.27,0.8363,"ns"
"PC8","Pairwise PERMANOVA","C1b2 vs C2b2",0.1068,5.14,0.3025,"ns"
"PC8","Pairwise PERMANOVA","C2a vs C2b1",0.0115,0.26,0.8465,"ns"
"PC8","Pairwise PERMANOVA","C2a vs C2b2",0.0881,3.48,0.3025,"ns"
"PC8","Pairwise PERMANOVA","C2b1 vs C2b2",0.0619,2.38,0.3025,"ns"
"PC8","Pairwise PERMDISP","A1 vs A2",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","A1 vs B1",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","A1 vs B2a",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","A1 vs B2b",NA,NA,0.8167,"ns"
"PC8","Pairwise PERMDISP","A1 vs C1a",NA,NA,0.7602,"ns"
"PC8","Pairwise PERMDISP","A1 vs C1b1",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","A1 vs C1b2",NA,NA,0.9989,"ns"
"PC8","Pairwise PERMDISP","A1 vs C2a",NA,NA,0.9996,"ns"
"PC8","Pairwise PERMDISP","A1 vs C2b1",NA,NA,0.9904,"ns"
"PC8","Pairwise PERMDISP","A1 vs C2b2",NA,NA,0.9899,"ns"
"PC8","Pairwise PERMDISP","A2 vs B1",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","A2 vs B2a",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","A2 vs B2b",NA,NA,0.6946,"ns"
"PC8","Pairwise PERMDISP","A2 vs C1a",NA,NA,0.655,"ns"
"PC8","Pairwise PERMDISP","A2 vs C1b1",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","A2 vs C1b2",NA,NA,0.9986,"ns"
"PC8","Pairwise PERMDISP","A2 vs C2a",NA,NA,0.9997,"ns"
"PC8","Pairwise PERMDISP","A2 vs C2b1",NA,NA,0.987,"ns"
"PC8","Pairwise PERMDISP","A2 vs C2b2",NA,NA,0.9825,"ns"
"PC8","Pairwise PERMDISP","B1 vs B2a",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","B1 vs B2b",NA,NA,0.7844,"ns"
"PC8","Pairwise PERMDISP","B1 vs C1a",NA,NA,0.7402,"ns"
"PC8","Pairwise PERMDISP","B1 vs C1b1",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","B1 vs C1b2",NA,NA,0.9998,"ns"
"PC8","Pairwise PERMDISP","B1 vs C2a",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","B1 vs C2b1",NA,NA,0.9951,"ns"
"PC8","Pairwise PERMDISP","B1 vs C2b2",NA,NA,0.9942,"ns"
"PC8","Pairwise PERMDISP","B2a vs B2b",NA,NA,0.8084,"ns"
"PC8","Pairwise PERMDISP","B2a vs C1a",NA,NA,0.7631,"ns"
"PC8","Pairwise PERMDISP","B2a vs C1b1",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","B2a vs C1b2",NA,NA,0.9999,"ns"
"PC8","Pairwise PERMDISP","B2a vs C2a",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","B2a vs C2b1",NA,NA,0.9964,"ns"
"PC8","Pairwise PERMDISP","B2a vs C2b2",NA,NA,0.9958,"ns"
"PC8","Pairwise PERMDISP","B2b vs C1a",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","B2b vs C1b1",NA,NA,0.6031,"ns"
"PC8","Pairwise PERMDISP","B2b vs C1b2",NA,NA,0.991,"ns"
"PC8","Pairwise PERMDISP","B2b vs C2a",NA,NA,0.9961,"ns"
"PC8","Pairwise PERMDISP","B2b vs C2b1",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","B2b vs C2b2",NA,NA,0.9985,"ns"
"PC8","Pairwise PERMDISP","C1a vs C1b1",NA,NA,0.5581,"ns"
"PC8","Pairwise PERMDISP","C1a vs C1b2",NA,NA,0.9751,"ns"
"PC8","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.9862,"ns"
"PC8","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.9996,"ns"
"PC8","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.9926,"ns"
"PC8","Pairwise PERMDISP","C1b1 vs C1b2",NA,NA,0.9885,"ns"
"PC8","Pairwise PERMDISP","C1b1 vs C2a",NA,NA,0.9956,"ns"
"PC8","Pairwise PERMDISP","C1b1 vs C2b1",NA,NA,0.9544,"ns"
"PC8","Pairwise PERMDISP","C1b1 vs C2b2",NA,NA,0.9417,"ns"
"PC8","Pairwise PERMDISP","C1b2 vs C2a",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","C1b2 vs C2b1",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","C1b2 vs C2b2",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","C2a vs C2b1",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","C2a vs C2b2",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,1,"ns"
"PC9","PERMANOVA (overall)","11 clusters",0.1785,3.54,0.001,"***"
"PC9","PERMDISP (overall)","11 clusters",NA,1.98,0.038,"*"
"PC9","Pairwise PERMANOVA","A1 vs A2",0.1025,2.51,0.3375,"ns"
"PC9","Pairwise PERMANOVA","A1 vs B1",0.0079,0.18,0.7689,"ns"
"PC9","Pairwise PERMANOVA","A1 vs B2a",0.0492,1.19,0.4633,"ns"
"PC9","Pairwise PERMANOVA","A1 vs B2b",0.0032,0.1,0.8228,"ns"
"PC9","Pairwise PERMANOVA","A1 vs C1a",0.2033,5.36,0.11,"ns"
"PC9","Pairwise PERMANOVA","A1 vs C1b1",4e-04,0.01,0.9401,"ns"
"PC9","Pairwise PERMANOVA","A1 vs C1b2",0.0544,1.49,0.4267,"ns"
"PC9","Pairwise PERMANOVA","A1 vs C2a",0.5548,23.68,0.011,"*"
"PC9","Pairwise PERMANOVA","A1 vs C2b1",0.0286,0.56,0.6548,"ns"
"PC9","Pairwise PERMANOVA","A1 vs C2b2",0.0149,0.5,0.6359,"ns"
"PC9","Pairwise PERMANOVA","A2 vs B1",0.1014,3.27,0.2292,"ns"
"PC9","Pairwise PERMANOVA","A2 vs B2a",0.0372,1.12,0.5024,"ns"
"PC9","Pairwise PERMANOVA","A2 vs B2b",0.0813,3.36,0.2232,"ns"
"PC9","Pairwise PERMANOVA","A2 vs C1a",0.0062,0.17,0.7689,"ns"
"PC9","Pairwise PERMANOVA","A2 vs C1b1",0.1048,2.69,0.296,"ns"
"PC9","Pairwise PERMANOVA","A2 vs C1b2",0.0545,1.84,0.4267,"ns"
"PC9","Pairwise PERMANOVA","A2 vs C2a",0.0782,2.12,0.385,"ns"
"PC9","Pairwise PERMANOVA","A2 vs C2b1",0.1825,5.58,0.105,"ns"
"PC9","Pairwise PERMANOVA","A2 vs C2b2",0.0489,2,0.3828,"ns"
"PC9","Pairwise PERMANOVA","B1 vs B2a",0.0315,0.98,0.4903,"ns"
"PC9","Pairwise PERMANOVA","B1 vs B2b",0,0,0.995,"ns"
"PC9","Pairwise PERMANOVA","B1 vs C1a",0.1812,6.2,0.11,"ns"
"PC9","Pairwise PERMANOVA","B1 vs C1b1",0.01,0.24,0.7353,"ns"
"PC9","Pairwise PERMANOVA","B1 vs C1b2",0.031,1.05,0.4903,"ns"
"PC9","Pairwise PERMANOVA","B1 vs C2a",0.5719,34.74,0.011,"*"
"PC9","Pairwise PERMANOVA","B1 vs C2b1",0.0749,2.1,0.3735,"ns"
"PC9","Pairwise PERMANOVA","B1 vs C2b2",0.0068,0.27,0.7353,"ns"
"PC9","Pairwise PERMANOVA","B2a vs B2b",0.0186,0.74,0.5585,"ns"
"PC9","Pairwise PERMANOVA","B2a vs C1a",0.036,1.05,0.4935,"ns"
"PC9","Pairwise PERMANOVA","B2a vs C1b1",0.0493,1.24,0.4471,"ns"
"PC9","Pairwise PERMANOVA","B2a vs C1b2",0.0011,0.04,0.8966,"ns"
"PC9","Pairwise PERMANOVA","B2a vs C2a",0.3524,14.15,0.011,"*"
"PC9","Pairwise PERMANOVA","B2a vs C2b1",0.1362,4.1,0.1581,"ns"
"PC9","Pairwise PERMANOVA","B2a vs C2b2",0.003,0.12,0.7953,"ns"
"PC9","Pairwise PERMANOVA","B2b vs C1a",0.0834,3.37,0.2663,"ns"
"PC9","Pairwise PERMANOVA","B2b vs C1b1",0.005,0.17,0.7689,"ns"
"PC9","Pairwise PERMANOVA","B2b vs C1b2",0.0158,0.67,0.5585,"ns"
"PC9","Pairwise PERMANOVA","B2b vs C2a",0.3426,18.24,0.011,"*"
"PC9","Pairwise PERMANOVA","B2b vs C2b1",0.0366,1.33,0.4633,"ns"
"PC9","Pairwise PERMANOVA","B2b vs C2b2",0.0058,0.29,0.7353,"ns"
"PC9","Pairwise PERMANOVA","C1a vs C1b1",0.1692,4.48,0.1283,"ns"
"PC9","Pairwise PERMANOVA","C1a vs C1b2",0.0723,2.42,0.342,"ns"
"PC9","Pairwise PERMANOVA","C1a vs C2a",0.3501,12.93,0.011,"*"
"PC9","Pairwise PERMANOVA","C1a vs C2b1",0.328,11.72,0.011,"*"
"PC9","Pairwise PERMANOVA","C1a vs C2b2",0.0401,1.59,0.4267,"ns"
"PC9","Pairwise PERMANOVA","C1b1 vs C1b2",0.0521,1.48,0.4327,"ns"
"PC9","Pairwise PERMANOVA","C1b1 vs C2a",0.479,18.39,0.011,"*"
"PC9","Pairwise PERMANOVA","C1b1 vs C2b1",0.0168,0.34,0.7316,"ns"
"PC9","Pairwise PERMANOVA","C1b1 vs C2b2",0.0182,0.63,0.572,"ns"
"PC9","Pairwise PERMANOVA","C1b2 vs C2a",0.4749,26.23,0.011,"*"
"PC9","Pairwise PERMANOVA","C1b2 vs C2b1",0.1603,5.54,0.11,"ns"
"PC9","Pairwise PERMANOVA","C1b2 vs C2b2",0.0012,0.05,0.8948,"ns"
"PC9","Pairwise PERMANOVA","C2a vs C2b1",0.6233,36.41,0.011,"*"
