"k","PC","test","pair","R2","F_value","p_value","sig"
6,"PC1","Pairwise PERMDISP","C4 vs C6",NA,NA,0.8538,"ns"
6,"PC1","Pairwise PERMDISP","C5 vs C6",NA,NA,1,"ns"
6,"PC2","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.2808,6.79,0.001,"***"
6,"PC2","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,0.54,0.7462,"ns"
6,"PC2","Pairwise PERMANOVA","C1 vs C2",7e-04,0.02,0.893,"ns"
6,"PC2","Pairwise PERMANOVA","C1 vs C3",0.0497,1.62,0.26,"ns"
6,"PC2","Pairwise PERMANOVA","C1 vs C4",0.1022,2.73,0.159,"ns"
6,"PC2","Pairwise PERMANOVA","C1 vs C5",0.1076,2.89,0.159,"ns"
6,"PC2","Pairwise PERMANOVA","C1 vs C6",0.1416,6.27,0.042,"*"
6,"PC2","Pairwise PERMANOVA","C2 vs C3",0.0794,2.33,0.1664,"ns"
6,"PC2","Pairwise PERMANOVA","C2 vs C4",0.1557,3.69,0.1393,"ns"
6,"PC2","Pairwise PERMANOVA","C2 vs C5",0.1519,3.58,0.1538,"ns"
6,"PC2","Pairwise PERMANOVA","C2 vs C6",0.1588,6.42,0.05,"*"
6,"PC2","Pairwise PERMANOVA","C3 vs C4",0.018,0.53,0.5308,"ns"
6,"PC2","Pairwise PERMANOVA","C3 vs C5",0.2659,10.51,0.005,"**"
6,"PC2","Pairwise PERMANOVA","C3 vs C6",0.3267,20.86,0.005,"**"
6,"PC2","Pairwise PERMANOVA","C4 vs C5",0.3232,10.51,0.0187,"*"
6,"PC2","Pairwise PERMANOVA","C4 vs C6",0.3613,20.36,0.005,"**"
6,"PC2","Pairwise PERMANOVA","C5 vs C6",0.0022,0.08,0.8336,"ns"
6,"PC2","Pairwise PERMDISP","C1 vs C2",NA,NA,0.8528,"ns"
6,"PC2","Pairwise PERMDISP","C1 vs C3",NA,NA,0.9039,"ns"
6,"PC2","Pairwise PERMDISP","C1 vs C4",NA,NA,1,"ns"
