"PC","test","pair","R2","F_value","p_value","sig"
"PC6","Pairwise PERMANOVA","C5 vs C6",0.0136,0.5,0.5758,"ns"
"PC6","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9994,"ns"
"PC6","Pairwise PERMDISP","C1 vs C3",NA,NA,0.9626,"ns"
"PC6","Pairwise PERMDISP","C1 vs C4",NA,NA,0.8837,"ns"
"PC6","Pairwise PERMDISP","C1 vs C5",NA,NA,0.9014,"ns"
"PC6","Pairwise PERMDISP","C1 vs C6",NA,NA,0.9999,"ns"
"PC6","Pairwise PERMDISP","C2 vs C3",NA,NA,0.9989,"ns"
"PC6","Pairwise PERMDISP","C2 vs C4",NA,NA,0.7675,"ns"
"PC6","Pairwise PERMDISP","C2 vs C5",NA,NA,0.9883,"ns"
"PC6","Pairwise PERMDISP","C2 vs C6",NA,NA,1,"ns"
"PC6","Pairwise PERMDISP","C3 vs C4",NA,NA,0.3796,"ns"
"PC6","Pairwise PERMDISP","C3 vs C5",NA,NA,0.9995,"ns"
"PC6","Pairwise PERMDISP","C3 vs C6",NA,NA,0.9791,"ns"
"PC6","Pairwise PERMDISP","C4 vs C5",NA,NA,0.319,"ns"
"PC6","Pairwise PERMDISP","C4 vs C6",NA,NA,0.7037,"ns"
"PC6","Pairwise PERMDISP","C5 vs C6",NA,NA,0.9265,"ns"
"PC7","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.1179,2.33,0.049,"*"
"PC7","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,2.67,0.0273,"*"
"PC7","Pairwise PERMANOVA","C1 vs C2",0.2962,9.26,0.03,"*"
"PC7","Pairwise PERMANOVA","C1 vs C3",0.1952,7.52,0.03,"*"
"PC7","Pairwise PERMANOVA","C1 vs C4",0.4699,21.27,0.015,"*"
"PC7","Pairwise PERMANOVA","C1 vs C5",0.148,4.17,0.126,"ns"
"PC7","Pairwise PERMANOVA","C1 vs C6",0.139,6.14,0.0788,"ns"
"PC7","Pairwise PERMANOVA","C2 vs C3",4e-04,0.01,0.957,"ns"
"PC7","Pairwise PERMANOVA","C2 vs C4",0.1337,3.09,0.2336,"ns"
"PC7","Pairwise PERMANOVA","C2 vs C5",9e-04,0.02,0.957,"ns"
"PC7","Pairwise PERMANOVA","C2 vs C6",0.0097,0.33,0.7855,"ns"
"PC7","Pairwise PERMANOVA","C3 vs C4",0.1044,3.38,0.2,"ns"
"PC7","Pairwise PERMANOVA","C3 vs C5",2e-04,0,0.957,"ns"
"PC7","Pairwise PERMANOVA","C3 vs C6",0.0093,0.4,0.7855,"ns"
"PC7","Pairwise PERMANOVA","C4 vs C5",0.0719,1.7,0.3919,"ns"
"PC7","Pairwise PERMANOVA","C4 vs C6",0.0241,0.89,0.5767,"ns"
"PC7","Pairwise PERMANOVA","C5 vs C6",0.0051,0.19,0.8112,"ns"
"PC7","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9195,"ns"
"PC7","Pairwise PERMDISP","C1 vs C3",NA,NA,0.8134,"ns"
"PC7","Pairwise PERMDISP","C1 vs C4",NA,NA,0.5823,"ns"
"PC7","Pairwise PERMDISP","C1 vs C5",NA,NA,0.1174,"ns"
"PC7","Pairwise PERMDISP","C1 vs C6",NA,NA,0.0223,"*"
"PC7","Pairwise PERMDISP","C2 vs C3",NA,NA,1,"ns"
"PC7","Pairwise PERMDISP","C2 vs C4",NA,NA,0.9945,"ns"
"PC7","Pairwise PERMDISP","C2 vs C5",NA,NA,0.7285,"ns"
"PC7","Pairwise PERMDISP","C2 vs C6",NA,NA,0.4999,"ns"
"PC7","Pairwise PERMDISP","C3 vs C4",NA,NA,0.9939,"ns"
"PC7","Pairwise PERMDISP","C3 vs C5",NA,NA,0.6354,"ns"
"PC7","Pairwise PERMDISP","C3 vs C6",NA,NA,0.3121,"ns"
"PC7","Pairwise PERMDISP","C4 vs C5",NA,NA,0.945,"ns"
"PC7","Pairwise PERMDISP","C4 vs C6",NA,NA,0.8299,"ns"
"PC7","Pairwise PERMDISP","C5 vs C6",NA,NA,1,"ns"
"PC8","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.1267,2.52,0.038,"*"
"PC8","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,0.89,0.4913,"ns"
"PC8","Pairwise PERMANOVA","C1 vs C2",0.005,0.11,0.825,"ns"
"PC8","Pairwise PERMANOVA","C1 vs C3",0.1841,6.99,0.1012,"ns"
"PC8","Pairwise PERMANOVA","C1 vs C4",0.1512,4.27,0.1012,"ns"
"PC8","Pairwise PERMANOVA","C1 vs C5",0.1781,5.2,0.1012,"ns"
"PC8","Pairwise PERMANOVA","C1 vs C6",0.0112,0.43,0.7064,"ns"
"PC8","Pairwise PERMANOVA","C2 vs C3",0.1405,4.41,0.15,"ns"
"PC8","Pairwise PERMANOVA","C2 vs C4",0.1216,2.77,0.2036,"ns"
"PC8","Pairwise PERMANOVA","C2 vs C5",0.1163,2.63,0.215,"ns"
"PC8","Pairwise PERMANOVA","C2 vs C6",0.0184,0.64,0.6285,"ns"
"PC8","Pairwise PERMANOVA","C3 vs C4",6e-04,0.02,0.901,"ns"
"PC8","Pairwise PERMANOVA","C3 vs C5",0.0092,0.27,0.7412,"ns"
"PC8","Pairwise PERMANOVA","C3 vs C6",0.1068,5.14,0.1012,"ns"
"PC8","Pairwise PERMANOVA","C4 vs C5",0.0115,0.26,0.7754,"ns"
"PC8","Pairwise PERMANOVA","C4 vs C6",0.0881,3.48,0.15,"ns"
"PC8","Pairwise PERMANOVA","C5 vs C6",0.0619,2.38,0.215,"ns"
"PC8","Pairwise PERMDISP","C1 vs C2",NA,NA,0.3205,"ns"
"PC8","Pairwise PERMDISP","C1 vs C3",NA,NA,0.8315,"ns"
"PC8","Pairwise PERMDISP","C1 vs C4",NA,NA,0.874,"ns"
"PC8","Pairwise PERMDISP","C1 vs C5",NA,NA,0.9782,"ns"
"PC8","Pairwise PERMDISP","C1 vs C6",NA,NA,0.9071,"ns"
"PC8","Pairwise PERMDISP","C2 vs C3",NA,NA,0.8848,"ns"
"PC8","Pairwise PERMDISP","C2 vs C4",NA,NA,0.9283,"ns"
"PC8","Pairwise PERMDISP","C2 vs C5",NA,NA,0.7732,"ns"
"PC8","Pairwise PERMDISP","C2 vs C6",NA,NA,0.7444,"ns"
"PC8","Pairwise PERMDISP","C3 vs C4",NA,NA,1,"ns"
"PC8","Pairwise PERMDISP","C3 vs C5",NA,NA,0.9989,"ns"
"PC8","Pairwise PERMDISP","C3 vs C6",NA,NA,0.9998,"ns"
"PC8","Pairwise PERMDISP","C4 vs C5",NA,NA,0.999,"ns"
"PC8","Pairwise PERMDISP","C4 vs C6",NA,NA,0.9998,"ns"
"PC8","Pairwise PERMDISP","C5 vs C6",NA,NA,1,"ns"
"PC9","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.2728,6.53,0.001,"***"
"PC9","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,2.42,0.0421,"*"
"PC9","Pairwise PERMANOVA","C1 vs C2",0.1692,4.48,0.0994,"ns"
"PC9","Pairwise PERMANOVA","C1 vs C3",0.0723,2.42,0.2085,"ns"
"PC9","Pairwise PERMANOVA","C1 vs C4",0.3501,12.93,0.01,"**"
"PC9","Pairwise PERMANOVA","C1 vs C5",0.328,11.72,0.01,"**"
"PC9","Pairwise PERMANOVA","C1 vs C6",0.0401,1.59,0.2925,"ns"
"PC9","Pairwise PERMANOVA","C2 vs C3",0.0521,1.48,0.2925,"ns"
"PC9","Pairwise PERMANOVA","C2 vs C4",0.479,18.39,0.0075,"**"
"PC9","Pairwise PERMANOVA","C2 vs C5",0.0168,0.34,0.6086,"ns"
"PC9","Pairwise PERMANOVA","C2 vs C6",0.0182,0.63,0.5054,"ns"
"PC9","Pairwise PERMANOVA","C3 vs C4",0.4749,26.23,0.005,"**"
"PC9","Pairwise PERMANOVA","C3 vs C5",0.1603,5.54,0.0707,"ns"
"PC9","Pairwise PERMANOVA","C3 vs C6",0.0012,0.05,0.81,"ns"
"PC9","Pairwise PERMANOVA","C4 vs C5",0.6233,36.41,0.005,"**"
"PC9","Pairwise PERMANOVA","C4 vs C6",0.2691,13.25,0.005,"**"
"PC9","Pairwise PERMANOVA","C5 vs C6",0.0638,2.45,0.2085,"ns"
"PC9","Pairwise PERMDISP","C1 vs C2",NA,NA,0.2165,"ns"
"PC9","Pairwise PERMDISP","C1 vs C3",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","C1 vs C4",NA,NA,0.9999,"ns"
"PC9","Pairwise PERMDISP","C1 vs C5",NA,NA,0.8429,"ns"
"PC9","Pairwise PERMDISP","C1 vs C6",NA,NA,0.34,"ns"
"PC9","Pairwise PERMDISP","C2 vs C3",NA,NA,0.1155,"ns"
"PC9","Pairwise PERMDISP","C2 vs C4",NA,NA,0.3559,"ns"
"PC9","Pairwise PERMDISP","C2 vs C5",NA,NA,0.8764,"ns"
"PC9","Pairwise PERMDISP","C2 vs C6",NA,NA,0.9777,"ns"
"PC9","Pairwise PERMDISP","C3 vs C4",NA,NA,0.9984,"ns"
"PC9","Pairwise PERMDISP","C3 vs C5",NA,NA,0.7045,"ns"
"PC9","Pairwise PERMDISP","C3 vs C6",NA,NA,0.1578,"ns"
"PC9","Pairwise PERMDISP","C4 vs C5",NA,NA,0.939,"ns"
"PC9","Pairwise PERMDISP","C4 vs C6",NA,NA,0.5587,"ns"
"PC9","Pairwise PERMDISP","C5 vs C6",NA,NA,0.992,"ns"
