"PC","test","pair","R2","F_value","p_value","sig"
"PC3","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.1414,"ns"
"PC3","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.0235,"*"
"PC3","Pairwise PERMDISP","C1b vs C2a",NA,NA,0.7339,"ns"
"PC3","Pairwise PERMDISP","C1b vs C2b1",NA,NA,0.9986,"ns"
"PC3","Pairwise PERMDISP","C1b vs C2b2",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.7083,"ns"
"PC3","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.7415,"ns"
"PC3","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,0.9988,"ns"
"PC4","PERMANOVA (overall)","C1a/C1b/C2a/C2b1/C2b2",0.0499,1.15,0.352,"ns"
"PC4","PERMDISP (overall)","C1a/C1b/C2a/C2b1/C2b2",NA,3.11,0.0193,"*"
"PC4","Pairwise PERMANOVA","C1a vs C1b",0.0066,0.27,0.7111,"ns"
"PC4","Pairwise PERMANOVA","C1a vs C2a",0.1014,2.71,0.4975,"ns"
"PC4","Pairwise PERMANOVA","C1a vs C2b1",3e-04,0.01,0.927,"ns"
"PC4","Pairwise PERMANOVA","C1a vs C2b2",0.0094,0.36,0.7111,"ns"
"PC4","Pairwise PERMANOVA","C1b vs C2a",0.0843,3.59,0.4975,"ns"
"PC4","Pairwise PERMANOVA","C1b vs C2b1",0.0083,0.32,0.7111,"ns"
"PC4","Pairwise PERMANOVA","C1b vs C2b2",0.0304,1.66,0.4975,"ns"
"PC4","Pairwise PERMANOVA","C2a vs C2b1",0.0839,2.02,0.4975,"ns"
"PC4","Pairwise PERMANOVA","C2a vs C2b2",0.0324,1.21,0.51,"ns"
"PC4","Pairwise PERMANOVA","C2b1 vs C2b2",0.0057,0.21,0.7111,"ns"
"PC4","Pairwise PERMDISP","C1a vs C1b",NA,NA,0.6126,"ns"
"PC4","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.3548,"ns"
"PC4","Pairwise PERMDISP","C1a vs C2b1",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","C1a vs C2b2",NA,NA,1,"ns"
"PC4","Pairwise PERMDISP","C1b vs C2a",NA,NA,0.0071,"**"
"PC4","Pairwise PERMDISP","C1b vs C2b1",NA,NA,0.7236,"ns"
"PC4","Pairwise PERMDISP","C1b vs C2b2",NA,NA,0.3495,"ns"
"PC4","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.3433,"ns"
"PC4","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.287,"ns"
"PC4","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,0.9996,"ns"
"PC5","PERMANOVA (overall)","C1a/C1b/C2a/C2b1/C2b2",0.0966,2.35,0.044,"*"
"PC5","PERMDISP (overall)","C1a/C1b/C2a/C2b1/C2b2",NA,1.73,0.1515,"ns"
"PC5","Pairwise PERMANOVA","C1a vs C1b",0.1905,9.65,0.02,"*"
"PC5","Pairwise PERMANOVA","C1a vs C2a",0.3975,15.83,0.02,"*"
"PC5","Pairwise PERMANOVA","C1a vs C2b1",0.1899,5.62,0.0625,"ns"
"PC5","Pairwise PERMANOVA","C1a vs C2b2",0.1438,6.38,0.0367,"*"
"PC5","Pairwise PERMANOVA","C1b vs C2a",3e-04,0.01,1,"ns"
"PC5","Pairwise PERMANOVA","C1b vs C2b1",0,0,1,"ns"
"PC5","Pairwise PERMANOVA","C1b vs C2b2",0.0024,0.13,1,"ns"
"PC5","Pairwise PERMANOVA","C2a vs C2b1",3e-04,0.01,1,"ns"
"PC5","Pairwise PERMANOVA","C2a vs C2b2",0.0043,0.16,1,"ns"
"PC5","Pairwise PERMANOVA","C2b1 vs C2b2",0.0018,0.06,1,"ns"
"PC5","Pairwise PERMDISP","C1a vs C1b",NA,NA,0.4569,"ns"
"PC5","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.9999,"ns"
"PC5","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.2278,"ns"
"PC5","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.4597,"ns"
"PC5","Pairwise PERMDISP","C1b vs C2a",NA,NA,0.6201,"ns"
"PC5","Pairwise PERMDISP","C1b vs C2b1",NA,NA,0.9218,"ns"
"PC5","Pairwise PERMDISP","C1b vs C2b2",NA,NA,1,"ns"
"PC5","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.3336,"ns"
"PC5","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.6192,"ns"
"PC5","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,0.9335,"ns"
"PC6","PERMANOVA (overall)","C1a/C1b/C2a/C2b1/C2b2",0.1963,5.37,0.001,"***"
"PC6","PERMDISP (overall)","C1a/C1b/C2a/C2b1/C2b2",NA,1.57,0.1891,"ns"
"PC6","Pairwise PERMANOVA","C1a vs C1b",0.2364,12.69,0.02,"*"
"PC6","Pairwise PERMANOVA","C1a vs C2a",0.1777,5.19,0.0933,"ns"
"PC6","Pairwise PERMANOVA","C1a vs C2b1",0.0298,0.74,0.5322,"ns"
"PC6","Pairwise PERMANOVA","C1a vs C2b2",0.0031,0.12,0.711,"ns"
"PC6","Pairwise PERMANOVA","C1b vs C2a",0.0511,2.1,0.2367,"ns"
"PC6","Pairwise PERMANOVA","C1b vs C2b1",0.0979,4.23,0.12,"ns"
"PC6","Pairwise PERMANOVA","C1b vs C2b2",0.2232,15.23,0.01,"**"
"PC6","Pairwise PERMANOVA","C2a vs C2b1",0.0259,0.59,0.5322,"ns"
"PC6","Pairwise PERMANOVA","C2a vs C2b2",0.0943,3.75,0.124,"ns"
"PC6","Pairwise PERMANOVA","C2b1 vs C2b2",0.0136,0.5,0.5322,"ns"
"PC6","Pairwise PERMDISP","C1a vs C1b",NA,NA,0.8749,"ns"
"PC6","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.7877,"ns"
"PC6","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.8132,"ns"
"PC6","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.9994,"ns"
"PC6","Pairwise PERMDISP","C1b vs C2a",NA,NA,0.1877,"ns"
"PC6","Pairwise PERMDISP","C1b vs C2b1",NA,NA,0.997,"ns"
"PC6","Pairwise PERMDISP","C1b vs C2b2",NA,NA,0.9074,"ns"
"PC6","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.2127,"ns"
"PC6","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.568,"ns"
"PC6","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,0.8511,"ns"
"PC7","PERMANOVA (overall)","C1a/C1b/C2a/C2b1/C2b2",0.1178,2.94,0.026,"*"
"PC7","PERMDISP (overall)","C1a/C1b/C2a/C2b1/C2b2",NA,3.38,0.0128,"*"
"PC7","Pairwise PERMANOVA","C1a vs C1b",0.1748,8.68,0.015,"*"
"PC7","Pairwise PERMANOVA","C1a vs C2a",0.4699,21.27,0.01,"**"
"PC7","Pairwise PERMANOVA","C1a vs C2b1",0.148,4.17,0.076,"ns"
"PC7","Pairwise PERMANOVA","C1a vs C2b2",0.139,6.14,0.07,"ns"
"PC7","Pairwise PERMANOVA","C1b vs C2a",0.106,4.63,0.076,"ns"
"PC7","Pairwise PERMANOVA","C1b vs C2b1",4e-04,0.01,0.908,"ns"
"PC7","Pairwise PERMANOVA","C1b vs C2b2",0.0119,0.64,0.5525,"ns"
"PC7","Pairwise PERMANOVA","C2a vs C2b1",0.0719,1.7,0.3417,"ns"
"PC7","Pairwise PERMANOVA","C2a vs C2b2",0.0241,0.89,0.5057,"ns"
"PC7","Pairwise PERMANOVA","C2b1 vs C2b2",0.0051,0.19,0.7589,"ns"
"PC7","Pairwise PERMDISP","C1a vs C1b",NA,NA,0.5898,"ns"
"PC7","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.46,"ns"
"PC7","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.0747,"ns"
"PC7","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.0125,"*"
"PC7","Pairwise PERMDISP","C1b vs C2a",NA,NA,0.9847,"ns"
"PC7","Pairwise PERMDISP","C1b vs C2b1",NA,NA,0.4879,"ns"
"PC7","Pairwise PERMDISP","C1b vs C2b2",NA,NA,0.1652,"ns"
"PC7","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.8873,"ns"
"PC7","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.728,"ns"
"PC7","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,0.9998,"ns"
"PC8","PERMANOVA (overall)","C1a/C1b/C2a/C2b1/C2b2",0.0696,1.65,0.162,"ns"
"PC8","PERMDISP (overall)","C1a/C1b/C2a/C2b1/C2b2",NA,0.81,0.5233,"ns"
"PC8","Pairwise PERMANOVA","C1a vs C1b",0.0465,2,0.312,"ns"
"PC8","Pairwise PERMANOVA","C1a vs C2a",0.1512,4.27,0.205,"ns"
"PC8","Pairwise PERMANOVA","C1a vs C2b1",0.1781,5.2,0.205,"ns"
"PC8","Pairwise PERMANOVA","C1a vs C2b2",0.0112,0.43,0.6188,"ns"
"PC8","Pairwise PERMANOVA","C1b vs C2a",0.0191,0.76,0.54,"ns"
"PC8","Pairwise PERMANOVA","C1b vs C2b1",0.0034,0.13,0.718,"ns"
"PC8","Pairwise PERMANOVA","C1b vs C2b2",0.0224,1.22,0.4633,"ns"
"PC8","Pairwise PERMANOVA","C2a vs C2b1",0.0115,0.26,0.718,"ns"
"PC8","Pairwise PERMANOVA","C2a vs C2b2",0.0881,3.48,0.2067,"ns"
"PC8","Pairwise PERMANOVA","C2b1 vs C2b2",0.0619,2.38,0.312,"ns"
"PC8","Pairwise PERMDISP","C1a vs C1b",NA,NA,0.4116,"ns"
"PC8","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.8212,"ns"
"PC8","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.9566,"ns"
"PC8","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.8603,"ns"
"PC8","Pairwise PERMDISP","C1b vs C2a",NA,NA,0.9928,"ns"
"PC8","Pairwise PERMDISP","C1b vs C2b1",NA,NA,0.9119,"ns"
"PC8","Pairwise PERMDISP","C1b vs C2b2",NA,NA,0.8992,"ns"
"PC8","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.9964,"ns"
"PC8","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.9988,"ns"
"PC8","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,0.9999,"ns"
"PC9","PERMANOVA (overall)","C1a/C1b/C2a/C2b1/C2b2",0.2618,7.8,0.001,"***"
"PC9","PERMDISP (overall)","C1a/C1b/C2a/C2b1/C2b2",NA,1.21,0.3119,"ns"
"PC9","Pairwise PERMANOVA","C1a vs C1b",0.0824,3.68,0.0983,"ns"
"PC9","Pairwise PERMANOVA","C1a vs C2a",0.3501,12.93,0.008,"**"
"PC9","Pairwise PERMANOVA","C1a vs C2b1",0.328,11.72,0.008,"**"
"PC9","Pairwise PERMANOVA","C1a vs C2b2",0.0401,1.59,0.2244,"ns"
"PC9","Pairwise PERMANOVA","C1b vs C2a",0.3905,24.99,0.0033,"**"
"PC9","Pairwise PERMANOVA","C1b vs C2b1",0.0719,3.02,0.1186,"ns"
"PC9","Pairwise PERMANOVA","C1b vs C2b2",0.0014,0.07,0.784,"ns"
"PC9","Pairwise PERMANOVA","C2a vs C2b1",0.6233,36.41,0.0033,"**"
"PC9","Pairwise PERMANOVA","C2a vs C2b2",0.2691,13.25,0.0033,"**"
"PC9","Pairwise PERMANOVA","C2b1 vs C2b2",0.0638,2.45,0.1663,"ns"
"PC9","Pairwise PERMDISP","C1a vs C1b",NA,NA,0.9172,"ns"
"PC9","Pairwise PERMDISP","C1a vs C2a",NA,NA,0.9995,"ns"
"PC9","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.7973,"ns"
"PC9","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.3234,"ns"
"PC9","Pairwise PERMDISP","C1b vs C2a",NA,NA,0.9812,"ns"
"PC9","Pairwise PERMDISP","C1b vs C2b1",NA,NA,0.9887,"ns"
"PC9","Pairwise PERMDISP","C1b vs C2b2",NA,NA,0.6775,"ns"
"PC9","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.9064,"ns"
"PC9","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.5212,"ns"
"PC9","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,0.9818,"ns"
